Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,3.93403836685,0.0,3.04264335881,0.0,0.0947245402345,3.13736789905,0.0947245402345,0.128562410501,0.0263694190929,0.092942924749,0.405549025336,0.12817168812
 01/01  02:00:00,4.26436478934,0.0,3.51763598457,0.0,0.109176393194,3.62681237777,0.109176393194,0.0749947671662,0.0153821588643,0.0761857795615,0.37340382637,0.0825108796174
 01/01  03:00:00,4.57363048539,0.0,3.87246152738,0.0,0.119694253488,3.99215578087,0.119694253488,0.0535676765835,0.0109872588647,0.0623264934745,0.369074506644,0.0704437689488
 01/01  04:00:00,4.86624322923,0.0,4.16650791755,0.0,0.12838112053,4.29488903808,0.12838112053,0.0535676765835,0.0109872588647,0.0539764305342,0.363879322973,0.0738685022
 01/01  05:00:00,4.95159449963,0.0,4.21637059164,0.0,0.129488770621,4.34585936226,0.129488770621,0.0535676765835,0.0109872588647,0.0658228643082,0.350133732842,0.110148604768
 01/01  06:00:00,5.353812916,0.0,4.39999863419,0.0,0.134824021106,4.53482265529,0.134824021106,0.0535676765835,0.0109872588647,0.080078180578,0.390721105274,0.268561039411
 01/01  07:00:00,7.39980386034,0.0,5.89758059428,0.0,0.181778711848,6.07935930613,0.181778711848,0.123205679416,0.0252706876143,0.14038354292,0.451439814432,0.565069829833
 01/01  08:00:00,6.43431727219,0.0,4.58990310289,0.0,0.14092522778,4.73082833067,0.14092522778,0.251768089917,0.0516401067072,0.228567290958,0.479688625644,0.646749828286
 01/01  09:00:00,5.33766005692,0.0,3.58870917859,0.0,0.109147151896,3.69785633049,0.109147151896,0.24105456125,0.0494426573893,0.30112795013,0.405549025336,0.627554532327
 01/01  10:00:00,4.4638484995,0.0,2.92924338639,0.0,0.0890901315558,3.01833351795,0.0890901315558,0.123205679416,0.0252706876143,0.375064554145,0.345155015158,0.561744045217
 01/01  11:00:00,5.08539980158,0.0,3.60349764369,0.0,0.111833478367,3.71533112206,0.111833478367,0.101778555585,0.0208757889786,0.395792849183,0.353272489644,0.483273996133
 01/01  12:00:00,3.51634711935,0.0,2.13300971413,0.0,0.065506961001,2.19851667513,0.065506961001,0.101778555585,0.0208757889786,0.413608485392,0.353380722637,0.413111891634
 01/01  13:00:00,2.71457362316,0.0,1.4262507522,0.0,0.0440991320806,1.47034988428,0.0440991320806,0.101778555585,0.0208757889786,0.399656479991,0.347427908014,0.359410006315
 01/01  14:00:00,2.24622707183,0.0,1.02844339204,0.0,0.0321822727431,1.06062566478,0.0321822727431,0.101778555585,0.0208757889786,0.361435815596,0.359441770253,0.32699447664
 01/01  15:00:00,1.92491191897,0.0,0.749852912294,0.0,0.0236309387725,0.773483851066,0.0236309387725,0.107135353167,0.0219745204572,0.331767743197,0.379681339973,0.295794111113
 01/01  16:00:00,1.88940160505,0.0,0.651818727269,0.0,0.0205954772834,0.672414204552,0.0205954772834,0.133919208083,0.0274681505715,0.339922588697,0.400786773637,0.299815679514
 01/01  17:00:00,2.24819849157,0.0,0.734280526188,0.0,0.0234318834251,0.757712409613,0.0234318834251,0.224984235001,0.0461464902322,0.389638662656,0.47406051,0.340581184069
 01/01  18:00:00,3.76494675118,0.0,1.7120411476,0.0,0.0550641257559,1.76710527335,0.0550641257559,0.417827884001,0.0857006188716,0.480421867651,0.575907756555,0.422908350748
 01/01  19:00:00,3.47511343515,0.0,1.08395511745,0.0,0.0342726139696,1.11822773142,0.0342726139696,0.621385061668,0.127452196829,0.432594020017,0.625262001432,0.505117423778
 01/01  20:00:00,3.68240477372,0.0,1.31359862724,0.0,0.0414803945375,1.35507902178,0.0414803945375,0.658882445251,0.135143276261,0.349590650728,0.645393338158,0.523241041548
 01/01  21:00:00,3.81236256049,0.0,1.60555317008,0.0,0.0505932814684,1.65614645155,0.0505932814684,0.567817418333,0.1164649366,0.310730298291,0.667581101753,0.478547353961
 01/01  22:00:00,3.91643405917,0.0,1.90200113607,0.0,0.0596483512497,1.96164948732,0.0596483512497,0.476752324918,0.0977865969395,0.293949140492,0.65199555074,0.419225958761
 01/01  23:00:00,3.79081484981,0.0,2.14689265064,0.0,0.0670279929061,2.21392064355,0.0670279929061,0.358903443084,0.0736146271644,0.234174068073,0.564218593295,0.330908474649
 01/01  24:00:00,3.84793272327,0.0,2.58082449828,0.0,0.0804239093528,2.66124840763,0.0804239093528,0.246411292335,0.050541388868,0.151455627092,0.490295458973,0.232905548367
 01/02  01:00:00,3.86627183803,0.0,2.99094859123,0.0,0.0930152998138,3.08396389105,0.0930152998138,0.128562410501,0.0263694190929,0.0863692416722,0.405549025336,0.120382850379
