Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.920875727155,2.34250744896,0.0,2.31454007059,0.0,0.0592510403685,0.0592510403685,0.0592510403685,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465535
 01/01  02:00:00,0.737785373873,2.51997272477,0.0,2.4942221362,0.0,0.0638203091763,0.0638203091763,0.0638203091763,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844101466
 01/01  03:00:00,0.674383355608,2.62135408276,0.0,2.59590205173,0.0,0.0664546620113,0.0664546620113,0.0664546620113,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.081441745526
 01/01  04:00:00,0.66652968246,2.66174836133,0.0,2.63665459936,0.0,0.0674869501158,0.0674869501158,0.0674869501158,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072553544
 01/01  05:00:00,0.713901695515,2.67168495848,0.0,2.64753911673,0.0,0.0677446551142,0.0677446551142,0.0677446551142,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137188675
 01/01  06:00:00,0.97817882974,2.59199521908,0.0,2.56505040031,0.0,0.0656325657407,0.0656325657407,0.0656325657407,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635094908
 01/01  07:00:00,1.59247778375,2.40409988458,0.0,2.37296779619,0.0,0.0606848577761,0.0606848577761,0.0606848577761,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252541
 01/01  08:00:00,2.03013259216,2.64767883371,0.0,2.61459865731,0.0,0.0667968848043,0.0667968848043,0.0667968848043,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255572
 01/01  09:00:00,1.96686746401,2.32621684675,0.0,2.29824946838,0.0,0.0587552317945,0.0587552317945,0.0587552317945,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488219
 01/01  10:00:00,1.72290996775,2.32526519547,0.0,2.3014626949,0.0,0.0588047429541,0.0588047429541,0.0588047429541,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681675
 01/01  11:00:00,1.6299592184,2.85405218937,0.0,2.8296898934,0.0,0.0726686088798,0.0726686088798,0.0726686088798,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958447734
 01/01  12:00:00,1.53723134767,2.23626662657,0.0,2.21189686665,0.0,0.0567090246272,0.0567090246272,0.0567090246272,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.548266162385
 01/01  13:00:00,1.43819225486,1.97562046399,0.0,1.95166122071,0.0,0.0500978812319,0.0500978812319,0.0500978812319,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.475750165194
