Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.941306745147,3.16292732099,0.0,3.13495994261,0.0,0.0796820524088,0.0796820524088,0.0796820524088,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803471486
 01/01  02:00:00,0.752388262843,3.09127945244,0.0,3.06552886387,0.0,0.0784232003801,0.0784232003801,0.0784232003801,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844079135
 01/01  03:00:00,0.686667573008,3.08892924524,0.0,3.06347721422,0.0,0.0787388801837,0.0787388801837,0.0787388801837,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.0814417447542
 01/01  04:00:00,0.676668803389,3.03802761991,0.0,3.01293385794,0.0,0.077626071059,0.077626071059,0.077626071059,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072553401
 01/01  05:00:00,0.721860059486,2.95939121316,0.0,2.93524537141,0.0,0.075703019085,0.075703019085,0.075703019085,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137188675
 01/01  06:00:00,0.986268701625,2.88435117893,0.0,2.85740636016,0.0,0.0737224376255,0.0737224376255,0.0737224376255,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635094908
 01/01  07:00:00,1.59849367706,2.61536905851,0.0,2.58423697012,0.0,0.0667007510913,0.0667007510913,0.0667007510913,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252541
 01/01  08:00:00,2.03366628737,2.76191142146,0.0,2.72883124507,0.0,0.0703305800153,0.0703305800153,0.0703305800153,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255572
 01/01  09:00:00,1.9702217479,2.43521741656,0.0,2.40725003819,0.0,0.0621095156931,0.0621095156931,0.0621095156931,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488219
 01/01  10:00:00,1.72300943627,2.30741843712,0.0,2.28361593655,0.0,0.0589042114779,0.0589042114779,0.0589042114779,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681675
 01/01  11:00:00,1.6283039175,2.7617267655,0.0,2.73736446953,0.0,0.0710133079834,0.0710133079834,0.0710133079834,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958447734
 01/01  12:00:00,1.53026112107,1.94696104609,0.0,1.92259128617,0.0,0.0497388020796,0.0497388020796,0.0497388020796,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.548266158326
 01/01  13:00:00,1.43194287279,1.71264012823,0.0,1.68868088495,0.0,0.043848499083,0.043848499083,0.043848499083,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.475750165276
 01/01  14:00:00,1.35964358775,1.66204749821,0.0,1.63725975773,0.0,0.0425637914251,0.0425637914251,0.0425637914251,0.121932141685,0.0262674173776,0.361435815596,0.359872425705,0.430927995965
 01/01  15:00:00,1.31324995154,1.56464284163,0.0,1.5384593446,0.0,0.0401860500087,0.0401860500087,0.0401860500087,0.128349576704,0.0276499030931,0.331767743197,0.380136244918,0.388516433622
 01/01  16:00:00,1.3987171181,2.03284173409,0.0,2.00520276902,0.0,0.0525561339741,0.0525561339741,0.0525561339741,0.160436990796,0.0345623831569,0.339922588697,0.401266965488,0.393328055991
 01/01  17:00:00,1.71429423225,2.24891982229,0.0,2.21622777071,0.0,0.0578692690472,0.0578692690472,0.0578692690472,0.269534103112,0.0580648119413,0.389638662656,0.4746284928,0.447914892694
