Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,2.18859801254,0.0,1.34920219158,0.0,0.0427253531628,1.39192754475,0.0427253531628,0.128562410501,0.0263694190929,0.092942924749,0.405549025336,0.12817168812
 01/01  02:00:00,2.38856860168,0.0,1.69753985702,0.0,0.0534763330818,1.7510161901,0.0534763330818,0.0749947671662,0.0153821588643,0.0761857795615,0.37340382637,0.0825108796174
 01/01  03:00:00,2.63361738367,0.0,1.98982601664,0.0,0.062316668006,2.05214268465,0.062316668006,0.0535676765835,0.0109872588647,0.0623264934745,0.369074506644,0.0704437634536
 01/01  04:00:00,2.82431661927,0.0,2.18484823779,0.0,0.068114200167,2.25296243796,0.068114200167,0.0535676765835,0.0109872588647,0.0539764305342,0.363879322973,0.0738684923577
 01/01  05:00:00,3.07542032638,0.0,2.39527094209,0.0,0.0744142471521,2.46968518924,0.0744142471521,0.0535676765835,0.0109872588647,0.0658228643082,0.350133732842,0.110148604548
 01/01  06:00:00,3.48699388626,0.0,2.58779420846,0.0,0.0802094177441,2.66800362621,0.0802094177441,0.0535676765835,0.0109872588647,0.080078180578,0.390721105274,0.268561038755
 01/01  07:00:00,5.068574109,0.0,3.63514928326,0.0,0.112980282741,3.748129566,0.112980282741,0.123205679416,0.0252706876143,0.14038354292,0.451439814432,0.565069818614
 01/01  08:00:00,5.57131402031,0.0,3.75082378826,0.0,0.117001344498,3.86782513276,0.117001344498,0.251768089917,0.0516401067072,0.228567290958,0.479688625644,0.646749774329
 01/01  09:00:00,4.19984768806,0.0,2.48425954323,0.0,0.0757844285465,2.56004397178,0.0757844285465,0.24105456125,0.0494426573893,0.30112795013,0.405549025336,0.627554522176
 01/01  10:00:00,3.17123863021,0.0,1.67478661767,0.0,0.0509370306301,1.7257236483,0.0509370306301,0.123205679416,0.0252706876143,0.375064554145,0.345155015158,0.561744045581
 01/01  11:00:00,3.26839955548,0.0,1.84147432987,0.0,0.0568565460132,1.89833087589,0.0568565460132,0.101778555585,0.0208757889786,0.395792849183,0.353272489644,0.483273996202
 01/01  12:00:00,2.14550691343,0.0,0.80306139843,0.0,0.0246150755274,0.827676473957,0.0246150755274,0.101778555585,0.0208757889786,0.413608485392,0.353380722637,0.413111886878
 01/01  13:00:00,1.62052931141,0.0,0.36510134297,0.0,0.0112042317587,0.376305574728,0.0112042317587,0.101778555585,0.0208757889786,0.399656479991,0.347427908014,0.359410004116
