Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.990738770285,5.02567706685,0.0,4.99770968848,0.0,0.129114083517,0.129114083517,0.129114083517,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465516
 01/01  02:00:00,0.822460836462,5.81945718189,0.0,5.79370659331,0.0,0.148495760802,0.148495760802,0.148495760802,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844211102
 01/01  03:00:00,0.767621382318,6.29326780287,0.0,6.26781577184,0.0,0.159692684811,0.159692684811,0.159692684811,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.0814417494368
 01/01  04:00:00,0.76646664205,6.62193174065,0.0,6.59683797869,0.0,0.167423909567,0.167423909567,0.167423909567,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072554931
 01/01  05:00:00,0.819434691861,6.87029223518,0.0,6.84614639343,0.0,0.173277610585,0.173277610585,0.173277610585,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137229549
 01/01  06:00:00,1.08730584061,6.93809628634,0.0,6.91115146757,0.0,0.174759570066,0.174759570066,0.174759570066,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635101454
 01/01  07:00:00,1.71586719369,7.31686135883,0.0,7.28572927044,0.0,0.184074267388,0.184074267388,0.184074267388,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252874
 01/01  08:00:00,2.12721705829,6.53712784909,0.0,6.5040476727,0.0,0.163881314834,0.163881314834,0.163881314834,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262291667
 01/01  09:00:00,2.06402541568,6.22028739961,0.0,6.19232002124,0.0,0.155913173174,0.155913173174,0.155913173174,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306498509
 01/01  10:00:00,1.79896134609,5.38291094526,0.0,5.35910844469,0.0,0.134856121194,0.134856121194,0.134856121194,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681776
 01/01  11:00:00,1.70242766775,5.71946723637,0.0,5.6951049404,0.0,0.145137053022,0.145137053022,0.145137053022,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958452941
 01/01  12:00:00,1.57689842697,3.82774186352,0.0,3.8033721036,0.0,0.0963760970336,0.0963760970336,0.0963760970336,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.548266169275
 01/01  13:00:00,1.45326951964,2.58298214325,0.0,2.55902289996,0.0,0.0651751419545,0.0651751419545,0.0651751419545,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.475750169248
 01/01  14:00:00,1.36701720748,1.96118317664,0.0,1.93639543615,0.0,0.0499374101953,0.0499374101953,0.0499374101953,0.121932141685,0.0262674173776,0.361435815596,0.359872425705,0.430927996925
 01/01  15:00:00,1.31303626825,1.56182563555,0.0,1.53564213853,0.0,0.0399723664759,0.0399723664759,0.0399723664759,0.128349576704,0.0276499030931,0.331767743197,0.380136244918,0.388516433867
 01/01  16:00:00,1.3829457035,1.43732698407,0.0,1.409688019,0.0,0.0367847193728,0.0367847193728,0.0367847193728,0.160436990796,0.0345623831569,0.339922588697,0.401266965488,0.393328055991
 01/01  17:00:00,1.69132045052,1.35968506695,0.0,1.32699301536,0.0,0.0348954915129,0.0348954915129,0.0348954915129,0.269534103112,0.0580648119413,0.389638662656,0.4746284928,0.447914888497
 01/01  18:00:00,2.30169197,2.42159734281,0.0,2.38188172489,0.0,0.0629499401461,0.0629499401461,0.0629499401461,0.500563357112,0.107834640941,0.480421867651,0.576597764883,0.556680399269
 01/01  19:00:00,2.71905684309,1.76272899027,0.0,1.7196098163,0.0,0.0448828417894,0.0448828417894,0.0448828417894,0.744427560815,0.160369475696,0.432594020017,0.626011142216,0.66412780256
 01/01  20:00:00,2.7060464033,1.8657382945,0.0,1.82123082793,0.0,0.0473386217066,0.0473386217066,0.0473386217066,0.789349924612,0.170046944353,0.349590650728,0.646166598759,0.686909663141
 01/01  21:00:00,2.50806500068,2.24054026039,0.0,2.19450268638,0.0,0.0570136819829,0.0570136819829,0.0570136819829,0.680252812296,0.146544515569,0.310730298291,0.668380946025,0.628498746519
 01/01  22:00:00,2.27727887607,2.71533463029,0.0,2.67037186345,0.0,0.0692568056179,0.0692568056179,0.0692568056179,0.571155699981,0.123042103946,0.293949140492,0.652776721604,0.550454404431
 01/01  23:00:00,1.85155510561,3.20501136368,0.0,3.16610185115,0.0,0.0818735396513,0.0818735396513,0.0818735396513,0.429971093908,0.0926271950982,0.234174068073,0.564894596568,0.431370612316
 01/01  24:00:00,1.41256200468,3.75213174431,0.0,3.71832010192,0.0,0.0959048871778,0.0959048871778,0.0959048871778,0.295204002519,0.0635947891276,0.151455627092,0.490882893238,0.298875805523
 01/02  01:00:00,0.95412585054,4.28807512846,0.0,4.26010775009,0.0,0.10963903077,0.10963903077,0.10963903077,0.154019476112,0.0331798974413,0.0863692416722,0.40603492295,0.148239281594
 01/02  02:00:00,0.782329456868,4.61234754604,0.0,4.58659695747,0.0,0.117871110762,0.117871110762,0.117871110762,0.0898447275923,0.0193549373138,0.0722387554862,0.373851210082,0.092524715632
 01/02  03:00:00,0.724349493294,4.82952086283,0.0,4.8040688318,0.0,0.123110954358,0.123110954358,0.123110954358,0.0641747963185,0.013824954979,0.0597152550472,0.369516703299,0.0773628292928
 01/02  04:00:00,0.720103801971,4.98022232523,0.0,4.95512856326,0.0,0.126805231199,0.126805231199,0.126805231199,0.0641747963185,0.013824954979,0.0526110263622,0.364315295158,0.0817284979536
 01/02  05:00:00,0.761840151059,5.00033898624,0.0,4.97619314448,0.0,0.127308736989,0.127308736989,0.127308736989,0.0641747963185,0.013824954979,0.0631517086927,0.350553236121,0.126182717959
