Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,3.76067989587,0.0,2.87273857563,0.0,0.0912708524914,2.96400942812,0.0912708524914,0.128562410501,0.0263694190929,0.092942924749,0.405549025336,0.128171688077
 01/01  02:00:00,3.91381835708,0.0,3.17663930172,0.0,0.0996266437745,3.2762659455,0.0996266437745,0.0749947671662,0.0153821588643,0.0761857795615,0.37340382637,0.0825108796171
 01/01  03:00:00,4.08218624262,0.0,3.39492813234,0.0,0.105783411771,3.50071154412,0.105783411771,0.0535676765835,0.0109872588647,0.0623264934745,0.369074506644,0.070443762938
 01/01  04:00:00,4.13389261698,0.0,3.45504824772,0.0,0.107490188126,3.56253843585,0.107490188126,0.0535676765835,0.0109872588647,0.0539764305342,0.363879322973,0.0738684921786
 01/01  05:00:00,4.16937952245,0.0,3.45658131523,0.0,0.107063075277,3.5636443905,0.107063075277,0.0535676765835,0.0109872588647,0.0658228643082,0.350133732842,0.110148599342
 01/01  06:00:00,4.27919639611,0.0,3.35641582495,0.0,0.103790318278,3.46020614323,0.103790318278,0.0535676765835,0.0109872588647,0.080078180578,0.390721105274,0.268561031582
 01/01  07:00:00,5.70261592117,0.0,4.25016518726,0.0,0.132006194764,4.38217138203,0.132006194764,0.123205679416,0.0252706876143,0.14038354292,0.451439814432,0.565069814763
 01/01  08:00:00,4.84968282222,0.0,3.05258679998,0.0,0.093607134722,3.1461939347,0.093607134722,0.251768089917,0.0516401067072,0.228567290958,0.479688625644,0.646749774292
 01/01  09:00:00,4.31554681215,0.0,2.59595101681,0.0,0.0797920790588,2.67574309587,0.0797920790588,0.24105456125,0.0494426573893,0.30112795013,0.405549025336,0.627554522175
 01/01  10:00:00,3.90779957693,0.0,2.38818562199,0.0,0.0740989678182,2.46228458981,0.0740989678182,0.123205679416,0.0252706876143,0.375064554145,0.345155015158,0.561744050788
 01/01  11:00:00,4.37617744936,0.0,2.91442987722,0.0,0.0916788883611,3.00610876558,0.0916788883611,0.101778555585,0.0208757889786,0.395792849183,0.353272489644,0.483274000386
 01/01  12:00:00,3.54995438534,0.0,2.16431809188,0.0,0.0678058467839,2.23212393866,0.0678058467839,0.101778555585,0.0208757889786,0.413608485392,0.353380722637,0.413111894085
 01/01  13:00:00,3.2302696288,0.0,1.92541698575,0.0,0.0606289049504,1.9860458907,0.0606289049504,0.101778555585,0.0208757889786,0.399656479991,0.347427908014,0.359410005534
 01/01  14:00:00,3.12825636101,0.0,1.88308357883,0.0,0.0595713759888,1.94265495482,0.0595713759888,0.101778555585,0.0208757889786,0.361435815596,0.359441770253,0.326994475776
 01/01  15:00:00,3.03305564389,0.0,1.82373854258,0.0,0.0578890337153,1.88162757629,0.0578890337153,0.107135353167,0.0219745204572,0.331767743197,0.379681339973,0.295794110807
 01/01  16:00:00,3.03020265039,0.0,1.75734103051,0.0,0.0558742193791,1.81321524989,0.0558742193791,0.133919208083,0.0274681505715,0.339922588697,0.400786773637,0.299815679514
 01/01  17:00:00,3.12963490451,0.0,1.58867293217,0.0,0.0504758903829,1.63914882256,0.0504758903829,0.224984235001,0.0461464902322,0.389638662656,0.47406051,0.340581184069
 01/01  18:00:00,4.23485498478,0.0,2.16786731758,0.0,0.0691461893744,2.23701350695,0.0691461893744,0.417827884001,0.0857006188716,0.480421867651,0.575907756555,0.422908350748
 01/01  19:00:00,3.72191073629,0.0,1.32327682902,0.0,0.0417482020865,1.36502503111,0.0417482020865,0.621385061668,0.127452196829,0.432594020017,0.625262001432,0.50511742524
 01/01  20:00:00,3.51652100303,0.0,1.15296980889,0.0,0.0362254379289,1.18919524682,0.0362254379289,0.658882445251,0.135143276261,0.349590650728,0.645393338158,0.523241045808
 01/01  21:00:00,3.32466949115,0.0,1.13280229095,0.0,0.0356510857172,1.16845337667,0.0356510857172,0.567817418333,0.1164649366,0.310730298291,0.667581101753,0.478547359504
 01/01  22:00:00,3.229040693,0.0,1.23529137113,0.0,0.0389647734046,1.27425614454,0.0389647734046,0.476752324918,0.0977865969395,0.293949140492,0.65199555074,0.419225935372
 01/01  23:00:00,3.01560051877,0.0,1.3946407369,0.0,0.0440656206126,1.43870635751,0.0440656206126,0.358903443084,0.0736146271644,0.234174068073,0.564218593295,0.33090842965
 01/01  24:00:00,3.08928664699,0.0,1.84416873598,0.0,0.0584336052589,1.90260234124,0.0584336052589,0.246411292335,0.050541388868,0.151455627092,0.490295458973,0.232905538477
 01/02  01:00:00,2.97607326219,0.0,2.12658852389,0.0,0.0671767913866,2.19376531528,0.0671767913866,0.128562410501,0.0263694190929,0.0863692416722,0.405549025336,0.120382850311
 01/02  02:00:00,2.91711250325,0.0,2.21758865494,0.0,0.0699626250084,2.28755127995,0.0699626250084,0.0749947671662,0.0153821588643,0.0722387554862,0.37340382637,0.0784667154094
 01/02  03:00:00,3.01514043006,0.0,2.3650561637,0.0,0.0742302199293,2.43928638363,0.0742302199293,0.0535676765835,0.0109872588647,0.0597152550472,0.369074506644,0.0674343492944
 01/02  04:00:00,3.10341963587,0.0,2.45952396808,0.0,0.0771397277895,2.53666369587,0.0771397277895,0.0535676765835,0.0109872588647,0.0526110263622,0.363879322973,0.0706356552173
 01/02  05:00:00,3.10345630117,0.0,2.43085298159,0.0,0.0761445736295,2.50699755522,0.0761445736295,0.0535676765835,0.0109872588647,0.0631517086927,0.350133732842,0.103543368968
 01/02  06:00:00,3.20474114719,0.0,2.33614202272,0.0,0.0729716365132,2.40911365923,0.0729716365132,0.0535676765835,0.0109872588647,0.0759814879778,0.390721105274,0.24929495926
 01/02  07:00:00,4.29955867052,0.0,2.94175060484,0.0,0.09224105635,3.03399166119,0.09224105635,0.123205679416,0.0252706876143,0.129758030703,0.451439814432,0.520817797161
 01/02  08:00:00,3.72520701849,0.0,2.03304454738,0.0,0.0631985780999,2.09624312548,0.0631985780999,0.251768089917,0.0516401067072,0.207405929039,0.479688625644,0.593386141705
 01/02  09:00:00,3.44931349118,0.0,1.83997803017,0.0,0.0573274739843,1.89730550415,0.0573274739843,0.24105456125,0.0494426573893,0.268690649238,0.405549025336,0.572196093812
 01/02  10:00:00,3.18639040403,0.0,1.78062612419,0.0,0.0558911763951,1.83651730058,0.0558911763951,0.123205679416,0.0252706876143,0.330033495679,0.345155015158,0.511133225581
 01/02  11:00:00,3.50427444295,0.0,2.15995652189,0.0,0.0684012967907,2.22835781868,0.0684012967907,0.101778555585,0.0208757889786,0.344876619894,0.353272489644,0.440038170169
 01/02  12:00:00,2.74754335386,0.0,1.4715526641,0.0,0.0464260269138,1.51797869101,0.0464260269138,0.101778555585,0.0208757889786,0.361119725873,0.353380722637,0.377334869781
 01/02  13:00:00,2.39443153355,0.0,1.1912564095,0.0,0.037729526534,1.22898593603,0.037729526534,0.101778555585,0.0208757889786,0.3518459739,0.347427908014,0.328442371043
 01/02  14:00:00,2.2485661324,0.0,1.09843338659,0.0,0.0349753466621,1.13340873325,0.0349753466621,0.101778555585,0.0208757889786,0.317847783081,0.359441770253,0.300138501256
 01/02  15:00:00,2.02716588281,0.0,0.910114827059,0.0,0.0290909613878,0.939205788447,0.0290909613878,0.107135353167,0.0219745204572,0.292642171022,0.379681339973,0.271451709741
 01/02  16:00:00,1.93810420873,0.0,0.758212419775,0.0,0.0242489952978,0.782461415073,0.0242489952978,0.133919208083,0.0274681505715,0.302863615842,0.400786773637,0.275530045525
 01/02  17:00:00,2.10445874304,0.0,0.658759579812,0.0,0.0211279924634,0.679887572275,0.0211279924634,0.224984235001,0.0461464902322,0.353720743409,0.47406051,0.310584192119
 01/02  18:00:00,2.91330612197,0.0,0.956406224712,0.0,0.0307746468703,0.987180871582,0.0307746468703,0.417827884001,0.0857006188716,0.445069937436,0.575907756555,0.386544053522
 01/02  19:00:00,2.6061643544,0.0,0.320907297835,0.0,0.0102511620972,0.331158459932,0.0102511620972,0.621385061668,0.127452196829,0.398283704478,0.625262001432,0.457547930061
 01/02  20:00:00,2.46844293063,0.0,0.221732620085,0.0,0.00704994760777,0.228782567692,0.00704994760777,0.658882445251,0.135143276261,0.315345896534,0.645393338158,0.469820406739
 01/02  21:00:00,2.41369289353,0.0,0.332513222056,0.0,0.0105993525273,0.343112574583,0.0105993525273,0.567817418333,0.1164649366,0.275874927963,0.667581101753,0.427766934301
 01/02  22:00:00,2.30589396566,0.0,0.415866814407,0.0,0.0132714053577,0.429138219764,0.0132714053577,0.476752324918,0.0977865969395,0.258342283024,0.65199555074,0.376803990277
 01/02  23:00:00,2.19241524,0.0,0.65627922719,0.0,0.0209790609928,0.677258288183,0.0209790609928,0.358903443084,0.0736146271644,0.205880856148,0.564218593295,0.297464432131
 01/02  24:00:00,2.0137335408,0.0,0.836762779772,0.0,0.0267330160932,0.863495795865,0.0267330160932,0.246411292335,0.050541388868,0.135920781757,0.490295458973,0.211993822998
 01/03  01:00:00,1.91831494717,0.0,1.10080888902,0.0,0.035101893987,1.135910783,0.035101893987,0.128562410501,0.0263694190929,0.0863692416722,0.405549025336,0.120479067566
 01/03  02:00:00,1.86557162706,0.0,1.19778470329,0.0,0.0381777628821,1.23596246618,0.0381777628821,0.0749947671662,0.0153821588643,0.0722387554862,0.37340382637,0.0785146530025
 01/03  03:00:00,1.91016214182,0.0,1.2932281243,0.0,0.0410462040696,1.33427432837,0.0410462040696,0.0535676765835,0.0109872588647,0.0597152550472,0.369074506644,0.0674681163108
 01/03  04:00:00,1.9728559132,0.0,1.3628791397,0.0,0.0431831583509,1.40606229805,0.0431831583509,0.0535676765835,0.0109872588647,0.0526110263622,0.363879322973,0.0706733303691
 01/03  05:00:00,2.01779006516,0.0,1.37764604779,0.0,0.0436084639723,1.42125451177,0.0436084639723,0.0535676765835,0.0109872588647,0.0631517086927,0.350133732842,0.103620176412
 01/03  06:00:00,2.10934727584,0.0,1.27325633611,0.0,0.0402207880341,1.31347712415,0.0402207880341,0.0535676765835,0.0109872588647,0.0759814879778,0.390721105274,0.249537622991
