Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.900753452484,1.54202831282,0.0,1.51406093444,0.0,0.0391287649171,0.0391287649171,0.0391287649171,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803466315
 01/01  02:00:00,0.71892835677,1.7673901276,0.0,1.74163953902,0.0,0.0449632920371,0.0449632920371,0.0449632920371,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844101834
 01/01  03:00:00,0.659531781765,2.02950287036,0.0,2.00405083933,0.0,0.0516030881671,0.0516030881671,0.0516030881671,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.0814417455271
 01/01  04:00:00,0.651646738126,2.0703568834,0.0,2.04526312144,0.0,0.0526040057814,0.0526040057814,0.0526040057814,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072553545
 01/01  05:00:00,0.70009832012,2.12677559799,0.0,2.10262975623,0.0,0.0539412797192,0.0539412797192,0.0539412797192,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137188675
 01/01  06:00:00,0.965620566234,2.0969983029,0.0,2.07005348413,0.0,0.0530743022338,0.0530743022338,0.0530743022338,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635094908
 01/01  07:00:00,1.57928678022,1.88492596137,0.0,1.85379387298,0.0,0.0474938542417,0.0474938542417,0.0474938542417,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252541
 01/01  08:00:00,2.01406879876,2.01687000322,0.0,1.98378982683,0.0,0.0507330913973,0.0507330913973,0.0507330913973,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255572
 01/01  09:00:00,1.95054709408,1.68711817845,0.0,1.65915080008,0.0,0.0424348618684,0.0424348618684,0.0424348618684,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488219
 01/01  10:00:00,1.7071366137,1.70351810155,0.0,1.67971560098,0.0,0.0430313889022,0.0430313889022,0.0430313889022,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681675
 01/01  11:00:00,1.6011769844,1.73138088819,0.0,1.70701859221,0.0,0.0438863748806,0.0438863748806,0.0438863748806,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958447734
 01/01  12:00:00,1.51358021169,1.30878649711,0.0,1.2844167372,0.0,0.0330578917533,0.0330578917533,0.0330578917533,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.548266159278
 01/01  13:00:00,1.41543482852,1.08310405651,0.0,1.05914481323,0.0,0.0273404546214,0.0273404546214,0.0273404546214,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.475750165469
 01/01  14:00:00,1.33939626571,0.886490791075,0.0,0.861703050594,0.0,0.0223164691282,0.0223164691282,0.0223164691282,0.121932141685,0.0262674173776,0.361435815596,0.359872425705,0.430927996219
 01/01  15:00:00,1.29205869354,0.757599296632,0.0,0.731415799611,0.0,0.0189947919191,0.0189947919191,0.0189947919191,0.128349576704,0.0276499030931,0.331767743197,0.380136244918,0.388516433708
 01/01  16:00:00,1.3648510253,0.745629240039,0.0,0.717990274968,0.0,0.0186900411731,0.0186900411731,0.0186900411731,0.160436990796,0.0345623831569,0.339922588697,0.401266965488,0.393328055992
 01/01  17:00:00,1.67109694312,0.595502886824,0.0,0.562810835241,0.0,0.0146719857732,0.0146719857732,0.0146719857732,0.269534103112,0.0580648119413,0.389638662656,0.4746284928,0.447914886841
 01/01  18:00:00,2.25969380118,0.842871522939,0.0,0.803155905023,0.0,0.0209517716005,0.0209517716005,0.0209517716005,0.500563357112,0.107834640941,0.480421867651,0.576597764883,0.556680398988
 01/01  19:00:00,2.67912316013,0.23393677791,0.0,0.190817603939,0.0,0.00494915316822,0.00494915316822,0.00494915316822,0.744427560815,0.160369475696,0.432594020017,0.626011142216,0.664127808219
 01/01  20:00:00,2.6638198311,0.241997210656,0.0,0.197489744083,0.0,0.00511204250983,0.00511204250983,0.00511204250983,0.789349924612,0.170046944353,0.349590650728,0.646166598759,0.686909670133
 01/01  21:00:00,2.45900633977,0.353200050677,0.0,0.307162476668,0.0,0.0079550196378,0.0079550196378,0.0079550196378,0.680252812296,0.146544515569,0.310730298291,0.668380946025,0.628498747947
 01/01  22:00:00,2.22260457638,0.607460443554,0.0,0.56249767672,0.0,0.0145824983498,0.0145824983498,0.0145824983498,0.571155699981,0.123042103946,0.293949140492,0.652776721604,0.55045441201
 01/01  23:00:00,1.79170096749,0.888326758738,0.0,0.849417246203,0.0,0.0220193995321,0.0220193995321,0.0220193995321,0.429971093908,0.0926271950982,0.234174068073,0.564894596568,0.431370614307
