Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,1.00259236506,5.47892170067,0.0,5.4509543223,0.0,0.140967678343,0.140967678343,0.140967678343,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465469
 01/01  02:00:00,0.834082567058,6.25786417394,0.0,6.23211358536,0.0,0.160117489029,0.160117489029,0.160117489029,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844234792
 01/01  03:00:00,0.778943116205,6.72464104547,0.0,6.69918901445,0.0,0.171014419056,0.171014419056,0.171014419056,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.081441749078
 01/01  04:00:00,0.780161725477,7.14875295703,0.0,7.12365919506,0.0,0.181118964763,0.181118964763,0.181118964763,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072837245
 01/01  05:00:00,0.831581843357,7.33758342036,0.0,7.31343757861,0.0,0.185424787571,0.185424787571,0.185424787571,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.13513720406
 01/01  06:00:00,1.09550710808,7.2674572121,0.0,7.24051239333,0.0,0.182960843243,0.182960843243,0.182960843243,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635095745
 01/01  07:00:00,1.7269250295,7.74508290642,0.0,7.71395081803,0.0,0.195132062129,0.195132062129,0.195132062129,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385293937
 01/01  08:00:00,2.14220224704,7.11004632634,0.0,7.07696614994,0.0,0.178866475124,0.178866475124,0.178866475124,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262320134
 01/01  09:00:00,2.07910690212,6.80586924745,0.0,6.77790186908,0.0,0.17099464507,0.17099464507,0.17099464507,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306513055
 01/01  10:00:00,1.82578762629,6.42022893611,0.0,6.39642643554,0.0,0.161682401193,0.161682401193,0.161682401193,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681973
