Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,1.01123393814,5.95542346167,0.0,5.92745608329,0.0,0.149609251374,0.149609251374,0.149609251374,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465516
 01/01  02:00:00,0.840806994562,6.65404662455,0.0,6.62829603597,0.0,0.166841930374,0.166841930374,0.166841930374,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844096385
 01/01  03:00:00,0.78472896669,7.07897837142,0.0,7.05352634039,0.0,0.176800273276,0.176800273276,0.176800273276,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.0814417453436
 01/01  04:00:00,0.7864158202,7.520466675,0.0,7.49537291303,0.0,0.187373085458,0.187373085458,0.187373085458,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072577527
 01/01  05:00:00,0.83946612382,7.7728851704,0.0,7.74873932865,0.0,0.193309082108,0.193309082108,0.193309082108,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137189986
 01/01  06:00:00,1.11237990106,8.05277665672,0.0,8.02583183795,0.0,0.199833639421,0.199833639421,0.199833639421,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635092549
 01/01  07:00:00,1.72594236531,7.8322398066,0.0,7.80110771821,0.0,0.194149439766,0.194149439766,0.194149439766,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252115
 01/01  08:00:00,2.15794425364,7.88419730927,0.0,7.85111713288,0.0,0.194608546302,0.194608546302,0.194608546302,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255548
 01/01  09:00:00,2.08901695087,7.35054514441,0.0,7.32257776603,0.0,0.180904718663,0.180904718663,0.180904718663,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488219
 01/01  10:00:00,1.82214438415,6.42712498299,0.0,6.40332248242,0.0,0.158039159355,0.158039159355,0.158039159355,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681675
 01/01  11:00:00,1.72553592993,6.75385362158,0.0,6.72949132561,0.0,0.168245319388,0.168245319388,0.168245319388,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958448755
