Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,4.15869052393,0.0,3.26103416507,0.0,0.10098589425,3.36202005932,0.10098589425,0.128562410501,0.0263694190929,0.092942924749,0.405549025336,0.128171684934
 01/01  02:00:00,4.55980757752,0.0,3.80467532235,0.0,0.117579843646,3.922255166,0.117579843646,0.0749947671662,0.0153821588643,0.0761857795615,0.37340382637,0.0825108795617
 01/01  03:00:00,4.67353940836,0.0,3.96950030661,0.0,0.122564403241,4.09206470985,0.122564403241,0.0535676765835,0.0109872588647,0.0623264934745,0.369074506644,0.070443762938
 01/01  04:00:00,4.96411178628,0.0,4.2620530824,0.0,0.130704522743,4.39275760515,0.130704522743,0.0535676765835,0.0109872588647,0.0539764305342,0.363879322973,0.0738684921786
 01/01  05:00:00,5.30081535026,0.0,4.5554773026,0.0,0.139602915714,4.69508021832,0.139602915714,0.0535676765835,0.0109872588647,0.0658228643082,0.350133732842,0.110148599342
 01/01  06:00:00,5.78621464775,0.0,4.81978511186,0.0,0.14743926344,4.9672243753,0.14743926344,0.0535676765835,0.0109872588647,0.080078180578,0.390721105274,0.268561051147
 01/01  07:00:00,8.00934184151,0.0,6.48917479215,0.0,0.199722111259,6.68889690341,0.199722111259,0.123205679416,0.0252706876143,0.14038354292,0.451439814432,0.565070213714
 01/01  08:00:00,7.15906389697,0.0,5.29335844462,0.0,0.162216190769,5.45557463539,0.162216190769,0.251768089917,0.0516401067072,0.228567290958,0.479688625644,0.646750148355
 01/01  09:00:00,6.04539580599,0.0,4.27555516882,0.0,0.130036914731,4.40559208355,0.130036914731,0.24105456125,0.0494426573893,0.30112795013,0.405549025336,0.627554528335
 01/01  10:00:00,5.10540985239,0.0,3.55186819899,0.0,0.108026668793,3.65989486778,0.108026668793,0.123205679416,0.0252706876143,0.375064554145,0.345155015158,0.561744048273
 01/01  11:00:00,5.58659455672,0.0,4.09067863095,0.0,0.125847246541,4.21652587749,0.125847246541,0.101778555585,0.0208757889786,0.395792849183,0.353272489644,0.48327399584
 01/01  12:00:00,4.47597630127,0.0,3.0642799784,0.0,0.0938658820225,3.15814586043,0.0938658820225,0.101778555585,0.0208757889786,0.413608485392,0.353380722637,0.413111888248
 01/01  13:00:00,3.43895668228,0.0,2.12945499871,0.0,0.0652779461381,2.19473294485,0.0652779461381,0.101778555585,0.0208757889786,0.399656479991,0.347427908014,0.359410004868
 01/01  14:00:00,2.83510136418,0.0,1.60003026072,0.0,0.0494696969959,1.64949995771,0.0494696969959,0.101778555585,0.0208757889786,0.361435815596,0.359441770253,0.326994476053
 01/01  15:00:00,2.4588907008,0.0,1.26792688758,0.0,0.0395357455584,1.30746263314,0.0395357455584,0.107135353167,0.0219745204572,0.331767743197,0.379681339973,0.295794110872
 01/01  16:00:00,2.59650421761,0.0,1.33742138762,0.0,0.0420954294787,1.3795168171,0.0420954294787,0.133919208083,0.0274681505715,0.339922588697,0.400786773637,0.299815679514
 01/01  17:00:00,2.98889513197,0.0,1.45249782989,0.0,0.0459112201282,1.49840905002,0.0459112201282,0.224984235001,0.0461464902322,0.389638662656,0.47406051,0.340581184069
 01/01  18:00:00,4.89213688031,0.0,2.80499867942,0.0,0.089296728681,2.8942954081,0.089296728681,0.417827884001,0.0857006188716,0.480421867651,0.575907756555,0.422908345124
 01/01  19:00:00,4.31083906877,0.0,1.89506621762,0.0,0.0588871514458,1.95395336907,0.0588871514458,0.621385061668,0.127452196829,0.432594020017,0.625262001432,0.505117419759
 01/01  20:00:00,4.24377580538,0.0,1.85880773484,0.0,0.0576423212656,1.91645005611,0.0576423212656,0.658882445251,0.135143276261,0.349590650728,0.645393338158,0.523241038871
 01/01  21:00:00,4.11706442228,0.0,1.90190349775,0.0,0.0589448114708,1.96084830922,0.0589448114708,0.567817418333,0.1164649366,0.310730298291,0.667581101753,0.478547358077
 01/01  22:00:00,4.10514461321,0.0,2.08572354437,0.0,0.0646364919043,2.15036003628,0.0646364919043,0.476752324918,0.0977865969395,0.293949140492,0.65199555074,0.419225963841
 01/01  23:00:00,4.02715519228,0.0,2.37661446019,0.0,0.0736465240569,2.45026098425,0.0736465240569,0.358903443084,0.0736146271644,0.234174068073,0.564218593295,0.330908476417
 01/01  24:00:00,4.09652877961,0.0,2.82237484954,0.0,0.0874696268808,2.90984447642,0.0874696268808,0.246411292335,0.050541388868,0.151455627092,0.490295458973,0.232905535924
 01/02  01:00:00,4.10209761137,0.0,3.22012258579,0.0,0.0996670852509,3.31978967104,0.0996670852509,0.128562410501,0.0263694190929,0.0863692416722,0.405549025336,0.120382843736
 01/02  02:00:00,4.25365955291,0.0,3.51560814529,0.0,0.108490200637,3.62409834592,0.108490200637,0.0749947671662,0.0153821588643,0.0722387554862,0.37340382637,0.0784666990996
 01/02  03:00:00,4.42697708768,0.0,3.73602163735,0.0,0.115101406116,3.85112304347,0.115101406116,0.0535676765835,0.0109872588647,0.0597152550472,0.369074506644,0.0674343470724
 01/02  04:00:00,4.64557032193,0.0,3.95721440049,0.0,0.121599981542,4.07881438203,0.121599981542,0.0535676765835,0.0109872588647,0.0526110263622,0.363879322973,0.0706356551168
 01/02  05:00:00,4.8272973928,0.0,4.10476772505,0.0,0.126070921799,4.23083864685,0.126070921799,0.0535676765835,0.0109872588647,0.0631517086927,0.350133732842,0.103543368967
 01/02  06:00:00,5.18779041584,0.0,4.26155424527,0.0,0.13060868261,4.39216292788,0.13060868261,0.0535676765835,0.0109872588647,0.0759814879778,0.390721105274,0.24929495926
 01/02  07:00:00,7.32040003566,0.0,5.87343433141,0.0,0.181398649504,6.05483298091,0.181398649504,0.123205679416,0.0252706876143,0.129758030703,0.451439814432,0.520817842586
 01/02  08:00:00,6.38180817273,0.0,4.61124503904,0.0,0.141599228268,4.75284426731,0.141599228268,0.251768089917,0.0516401067072,0.207405929039,0.479688625644,0.593386154117
 01/02  09:00:00,5.77094820439,0.0,4.09441258084,0.0,0.124527636442,4.21894021728,0.124527636442,0.24105456125,0.0494426573893,0.268690649238,0.405549025336,0.572196093893
 01/02  10:00:00,4.76953131862,0.0,3.31872245097,0.0,0.100935764207,3.41965821517,0.100935764207,0.123205679416,0.0252706876143,0.330033495679,0.345155015158,0.511133225581
 01/02  11:00:00,4.91406240926,0.0,3.52964367836,0.0,0.108502100909,3.63814577926,0.108502100909,0.101778555585,0.0208757889786,0.344876619894,0.353272489644,0.440038175895
 01/02  12:00:00,3.36133069109,0.0,2.06871416038,0.0,0.063051852964,2.13176601335,0.063051852964,0.101778555585,0.0208757889786,0.361119725873,0.353380722637,0.37733488467
 01/02  13:00:00,2.65090457663,0.0,1.44115629338,0.0,0.044302677804,1.48545897118,0.044302677804,0.101778555585,0.0208757889786,0.3518459739,0.347427908014,0.328442378971
 01/02  14:00:00,2.3014083081,0.0,1.1503960497,0.0,0.0358548566234,1.18625090632,0.0358548566234,0.101778555585,0.0208757889786,0.317847783081,0.359441770253,0.300138503882
 01/02  15:00:00,1.95300161778,0.0,0.838729915425,0.0,0.0263116079813,0.865041523406,0.0263116079813,0.107135353167,0.0219745204572,0.292642171022,0.379681339973,0.271451709752
 01/02  16:00:00,2.04636090774,0.0,0.863444928301,0.0,0.0272731857771,0.890718114078,0.0272731857771,0.133919208083,0.0274681505715,0.302863615842,0.400786773637,0.275530045525
