Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.79588359548,0.0,0.0,0.0,0.0,0.0,0.0,0.128562410501,0.0263694190929,0.092942924749,0.405549025336,0.127384815802
 01/01  02:00:00,0.636989814674,0.0,0.0,0.0,0.0,0.0,0.0,0.0749947671662,0.0153821588643,0.0761857795615,0.37340382637,0.0819482827126
 01/01  03:00:00,0.58120820695,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0623264934745,0.369074506644,0.0701772713838
 01/01  04:00:00,0.715135885012,0.0,0.139526517016,0.0,0.00433343171438,0.143859948731,0.00433343171438,0.0535676765835,0.0109872588647,0.0539764305342,0.363879322973,0.0737902473267
 01/01  05:00:00,0.778731018534,0.0,0.167749587555,0.0,0.00524653957635,0.172996127132,0.00524653957635,0.0535676765835,0.0109872588647,0.0658228643082,0.350133732842,0.110148358803
 01/01  06:00:00,1.02522040484,0.0,0.199966169722,0.0,0.00626398225311,0.206230151975,0.00626398225311,0.0535676765835,0.0109872588647,0.080078180578,0.390721105274,0.268561031569
 01/01  07:00:00,1.42099467655,0.0,0.0974937296385,0.0,0.00305640777038,0.100550137409,0.00305640777038,0.123205679416,0.0252706876143,0.14038354292,0.451439814432,0.565069814763
 01/01  08:00:00,2.19859584788,0.0,0.480106177185,0.0,0.0150007831772,0.495106960362,0.0150007831772,0.251768089917,0.0516401067072,0.228567290958,0.479688625644,0.646749774292
 01/01  09:00:00,1.7272752786,0.0,0.0848222576914,0.0,0.00264930463267,0.0874715623241,0.00264930463267,0.24105456125,0.0494426573893,0.30112795013,0.405549025336,0.627554522175
 01/01  10:00:00,1.50110623373,0.0,0.0539138126501,0.0,0.00167743916124,0.0555912518114,0.00167743916124,0.123205679416,0.0252706876143,0.375064554145,0.345155015158,0.561744045581
 01/01  11:00:00,1.36972581461,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.395792849183,0.353272489644,0.482931131222
 01/01  12:00:00,1.3172292089,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.413608485392,0.353380722637,0.412510656306
 01/01  13:00:00,1.24340387232,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.399656479991,0.347427908014,0.358590139752
 01/01  14:00:00,1.18470225315,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361435815596,0.359441770253,0.326095322741
 01/01  15:00:00,1.1501455373,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.331767743197,0.379681339973,0.294511580509
 01/01  16:00:00,1.21555541544,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.339922588697,0.400786773637,0.29838369445
 01/01  17:00:00,1.48889708055,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.389638662656,0.47406051,0.338992182661
 01/01  18:00:00,1.99639324313,0.0,0.0,0.0,0.0,0.0,0.0,0.417827884001,0.0857006188716,0.480421867651,0.575907756555,0.421460116052
