Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,2.67848062,0.0,1.82612616587,0.0,0.0556839861735,1.88181015204,0.0556839861735,0.128562410501,0.0263694190929,0.092942924749,0.405549025336,0.128171688279
 01/01  02:00:00,2.37804780118,0.0,1.68868488442,0.0,0.0518105171692,1.74049540158,0.0518105171692,0.0749947671662,0.0153821588643,0.0761857795615,0.37340382637,0.0825108676348
 01/01  03:00:00,2.31374870286,0.0,1.68011654442,0.0,0.0521574745052,1.73227401892,0.0521574745052,0.0535676765835,0.0109872588647,0.0623264934745,0.369074506644,0.0704437483687
 01/01  04:00:00,2.33161715958,0.0,1.70690664981,0.0,0.0533563323816,1.76026298219,0.0533563323816,0.0535676765835,0.0109872588647,0.0539764305342,0.363879322973,0.0738684884343
 01/01  05:00:00,2.3793972122,0.0,1.71974633266,0.0,0.0539157476505,1.77366208031,0.0539157476505,0.0535676765835,0.0109872588647,0.0658228643082,0.350133732842,0.110148599289
 01/01  06:00:00,2.48423460125,0.0,1.61455957969,0.0,0.0506848082175,1.66524438791,0.0506848082175,0.0535676765835,0.0109872588647,0.080078180578,0.390721105274,0.268560992038
 01/01  07:00:00,2.77243870189,0.0,1.40780545862,0.0,0.0441887068683,1.45199416549,0.0441887068683,0.123205679416,0.0252706876143,0.14038354292,0.451439814432,0.565069812013
 01/01  08:00:00,2.90629578625,0.0,1.16627587183,0.0,0.0365310269581,1.20280689878,0.0365310269581,0.251768089917,0.0516401067072,0.228567290958,0.479688625644,0.64674977424
 01/01  09:00:00,2.7480043996,0.0,1.07450742226,0.0,0.0336932610579,1.10820068332,0.0336932610579,0.24105456125,0.0494426573893,0.30112795013,0.405549025336,0.627554522174
 01/01  10:00:00,2.48031745122,0.0,1.00324652825,0.0,0.0315559410568,1.03480246931,0.0315559410568,0.123205679416,0.0252706876143,0.375064554145,0.345155015158,0.561744045581
 01/01  11:00:00,2.78557212958,0.0,1.37197757766,0.0,0.0435258759476,1.41550345361,0.0435258759476,0.101778555585,0.0208757889786,0.395792849183,0.353272489644,0.483273992583
 01/01  12:00:00,2.02462008143,0.0,0.685183437378,0.0,0.0216062106904,0.706789648068,0.0216062106904,0.101778555585,0.0208757889786,0.413608485392,0.353380722637,0.413111880772
 01/01  13:00:00,1.8799396613,0.0,0.61619538287,0.0,0.0195205442691,0.635715927139,0.0195205442691,0.101778555585,0.0208757889786,0.399656479991,0.347427908014,0.359410001588
 01/01  14:00:00,1.54186801265,0.0,0.345304361723,0.0,0.010962245187,0.35626660691,0.010962245187,0.101778555585,0.0208757889786,0.361435815596,0.359441770253,0.326994475331
 01/01  15:00:00,1.35141986726,0.0,0.19383542458,0.0,0.00615637508264,0.199991799662,0.00615637508264,0.107135353167,0.0219745204572,0.331767743197,0.379681339973,0.295794110807
 01/01  16:00:00,1.84731603507,0.0,0.61076569492,0.0,0.0195629396511,0.630328634572,0.0195629396511,0.133919208083,0.0274681505715,0.339922588697,0.400786773637,0.299815679514
 01/01  17:00:00,2.25252132537,0.0,0.738350594399,0.0,0.0236846467491,0.762035241148,0.0236846467491,0.224984235001,0.0461464902322,0.389638662656,0.47406051,0.340581186335
 01/01  18:00:00,3.94874050997,0.0,1.8901381397,0.0,0.0607608840825,1.95089902378,0.0607608840825,0.417827884001,0.0857006188716,0.480421867651,0.575907756555,0.422908359112
 01/01  19:00:00,3.53140655783,0.0,1.1387283181,0.0,0.0357925179124,1.17452083601,0.0357925179124,0.621385061668,0.127452196829,0.432594020017,0.625262001432,0.505117441866
 01/01  20:00:00,3.63129854383,0.0,1.2643201464,0.0,0.0396526295885,1.30397277599,0.0396526295885,0.658882445251,0.135143276261,0.349590650728,0.645393338158,0.523241057441
 01/01  21:00:00,3.85342585804,0.0,1.64553873044,0.0,0.0516710002393,1.69720973068,0.0516710002393,0.567817418333,0.1164649366,0.310730298291,0.667581101753,0.47854737238
 01/01  22:00:00,4.18935381715,0.0,2.16669357612,0.0,0.0678756419211,2.23456921804,0.0678756419211,0.476752324918,0.0977865969395,0.293949140492,0.65199555074,0.419225986025
 01/01  23:00:00,4.38705501837,0.0,2.72519477008,0.0,0.0849660093742,2.81016077946,0.0849660093742,0.358903443084,0.0736146271644,0.234174068073,0.564218593295,0.330908507294
 01/01  24:00:00,4.36035219179,0.0,3.07815791787,0.0,0.0955099418488,3.17366785972,0.0955099418488,0.246411292335,0.050541388868,0.151455627092,0.490295458973,0.232905564808
 01/02  01:00:00,4.38087507656,0.0,3.49078710163,0.0,0.107779926319,3.59856702795,0.107779926319,0.128562410501,0.0263694190929,0.0863692416722,0.405549025336,0.120382952003
 01/02  02:00:00,4.60666426789,0.0,3.85819815315,0.0,0.118904665811,3.97710281896,0.118904665811,0.0749947671662,0.0153821588643,0.0722387554862,0.37340382637,0.0784669410381
 01/02  03:00:00,4.93180864259,0.0,4.22592428095,0.0,0.130030096108,4.35595437706,0.130030096108,0.0535676765835,0.0109872588647,0.0597152550472,0.369074506644,0.0674345683944
 01/02  04:00:00,5.2871374151,0.0,4.57970250729,0.0,0.140678883347,4.72038139064,0.140678883347,0.0535676765835,0.0109872588647,0.0526110263622,0.363879322973,0.0706357396792
 01/02  05:00:00,5.62758258639,0.0,4.88148600037,0.0,0.149637742928,5.0311237433,0.149637742928,0.0535676765835,0.0109872588647,0.0631517086927,0.350133732842,0.103543466109
 01/02  06:00:00,5.98305473035,0.0,5.03349623143,0.0,0.153930957716,5.18742718915,0.153930957716,0.0535676765835,0.0109872588647,0.0759814879778,0.390721105274,0.2492950125
 01/02  07:00:00,7.96745263981,0.0,6.50206122045,0.0,0.199722111259,6.70178333171,0.199722111259,0.123205679416,0.0252706876143,0.129758030703,0.451439814432,0.520920095932
 01/02  08:00:00,7.15232841862,0.0,5.35931525336,0.0,0.163957572271,5.52327282563,0.163957572271,0.251768089917,0.0516401067072,0.207405929039,0.479688625644,0.593477841686
 01/02  09:00:00,6.39274007651,0.0,4.6978491585,0.0,0.142880581895,4.8407297404,0.142880581895,0.24105456125,0.0494426573893,0.268690649238,0.405549025336,0.572198442902
 01/02  10:00:00,5.30243877041,0.0,3.83590040401,0.0,0.116665236223,3.95256564023,0.116665236223,0.123205679416,0.0252706876143,0.330033495679,0.345155015158,0.511133252314
 01/02  11:00:00,5.59954985994,0.0,4.19466107027,0.0,0.128972124612,4.32363319489,0.128972124612,0.101778555585,0.0208757889786,0.344876619894,0.353272489644,0.440038210952
 01/02  12:00:00,3.94307474939,0.0,2.63324822593,0.0,0.0802617935394,2.71351001947,0.0802617935394,0.101778555585,0.0208757889786,0.361119725873,0.353380722637,0.377334936846
 01/02  13:00:00,3.14678643599,0.0,1.92224001637,0.0,0.059100790102,1.98134080647,0.059100790102,0.101778555585,0.0208757889786,0.3518459739,0.347427908014,0.328442403041
 01/02  14:00:00,2.68872191769,0.0,1.52604226085,0.0,0.0475222415282,1.57356450238,0.0475222415282,0.101778555585,0.0208757889786,0.317847783081,0.359441770253,0.300138517417
 01/02  15:00:00,2.27692704586,0.0,1.15282076881,0.0,0.0361461799253,1.18896694873,0.0361461799253,0.107135353167,0.0219745204572,0.292642171022,0.379681339973,0.27145171251
 01/02  16:00:00,2.36959630614,0.0,1.1767830243,0.0,0.0371704881589,1.21395351246,0.0371704881589,0.133919208083,0.0274681505715,0.302863615842,0.400786773637,0.275530045542
 01/02  17:00:00,2.64502364007,0.0,1.18293488577,0.0,0.0375175577093,1.22045244348,0.0375175577093,0.224984235001,0.0461464902322,0.353720743409,0.47406051,0.310584217944
 01/02  18:00:00,4.70298656783,0.0,2.69064666649,0.0,0.0862146464865,2.77686131297,0.0862146464865,0.417827884001,0.0857006188716,0.445069937436,0.575907756555,0.38654405799
