Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,1.06811110789,13.0670999117,0.0,12.614459362,0.0,0.347317501951,0.347317501951,0.347317501951,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.424131060158
 01/01  02:00:00,0.94075954646,13.1261655477,0.0,12.767868836,0.0,0.351541368685,0.351541368685,0.351541368685,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.332046981531
 01/01  03:00:00,0.8898353924,13.1057975032,0.0,12.7736003513,0.0,0.351699176129,0.351699176129,0.351699176129,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.306251766421
 01/01  04:00:00,0.879953107713,13.249368243,0.0,12.9105301334,0.0,0.355469302815,0.355469302815,0.355469302815,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.313257937709
 01/01  05:00:00,0.876356865264,13.2711416228,0.0,12.8591905999,0.0,0.354055756817,0.354055756817,0.354055756817,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.387337145445
 01/01  06:00:00,0.918526077103,13.1009159431,0.0,12.3684862883,0.0,0.340545055263,0.340545055263,0.340545055263,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.704962545807
 01/01  07:00:00,1.16324500571,14.277471383,0.0,12.9434000563,0.0,0.356374319761,0.356374319761,0.356374319761,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30233578333
 01/01  08:00:00,1.4746293137,13.8182433736,0.0,12.3094376896,0.0,0.338919253382,0.338919253382,0.338919253382,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47508429148
 01/01  09:00:00,1.43552973619,13.6140274357,0.0,12.1427555967,0.0,0.33432994785,0.33432994785,0.33432994785,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44276234937
 01/01  10:00:00,1.27760162686,13.8528009395,0.0,12.5131143672,0.0,0.344527141348,0.344527141348,0.344527141348,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31542269131
