Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.905560450223,7.16964916448,0.0,6.71067203814,0.0,0.184766844287,0.184766844287,0.184766844287,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.43046763675
 01/01  02:00:00,0.785348964858,7.48790557101,0.0,7.12340676586,0.0,0.196130787083,0.196130787083,0.196130787083,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.33824907494
 01/01  03:00:00,0.739284119048,7.64410091338,0.0,7.30562678554,0.0,0.201147902777,0.201147902777,0.201147902777,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.312528742342
 01/01  04:00:00,0.726238353278,7.67253713371,0.0,7.32765995761,0.0,0.201754548379,0.201754548379,0.201754548379,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.319297004234
 01/01  05:00:00,0.720519516001,7.61715776531,0.0,7.19922846631,0.0,0.198218407554,0.198218407554,0.198218407554,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.39331542155
 01/01  06:00:00,0.772921249688,7.81889190785,0.0,7.08016603941,0.0,0.194940227848,0.194940227848,0.194940227848,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.711258759445
 01/01  07:00:00,1.00570994374,8.56197763684,0.0,7.22177754596,0.0,0.198839257786,0.198839257786,0.198839257786,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30846454749
 01/01  08:00:00,1.33027303167,8.58147192115,0.0,7.06646420531,0.0,0.194562971348,0.194562971348,0.194562971348,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.48128632329
 01/01  09:00:00,1.29027882715,8.34457826574,0.0,6.86728954912,0.0,0.189079038818,0.189079038818,0.189079038818,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44877922704
 01/01  10:00:00,1.08955973508,7.0290559186,0.0,5.68349366325,0.0,0.156485249572,0.156485249572,0.156485249572,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.3212983743
 01/01  11:00:00,1.08428761179,6.81973413398,0.0,5.62969568244,0.0,0.155004014445,0.155004014445,0.155004014445,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16520392418
 01/01  12:00:00,1.0566134513,5.0205907792,0.0,3.97350890141,0.0,0.109403752156,0.109403752156,0.109403752156,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.02223974181
 01/01  13:00:00,1.00853841514,3.89325986609,0.0,2.95483556062,0.0,0.0813563289666,0.0813563289666,0.0813563289666,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.914000643457
 01/01  14:00:00,0.970614018579,3.3918227843,0.0,2.52025563287,0.0,0.0693909160565,0.0693909160565,0.0693909160565,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.846298932872
 01/01  15:00:00,0.959856602701,2.96854243108,0.0,2.15896708952,0.0,0.0594434557048,0.0594434557048,0.0594434557048,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.782884311551
 01/01  16:00:00,1.03781530952,3.24059907837,0.0,2.42257598846,0.0,0.0667014745898,0.0667014745898,0.0667014745898,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.789848379488
 01/01  17:00:00,1.32257940752,4.08571226468,0.0,3.17968738335,0.0,0.0875472382349,0.0875472382349,0.0875472382349,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.872699136895
