Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.910865602887,7.36114424731,0.0,6.90335346742,0.0,0.190071996951,0.190071996951,0.190071996951,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.4292812903
 01/01  02:00:00,0.78484988976,7.46950396631,0.0,7.10528051969,0.0,0.195631711985,0.195631711985,0.195631711985,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.337973716423
 01/01  03:00:00,0.738838618512,7.62769013816,0.0,7.28944635012,0.0,0.200702402241,0.200702402241,0.200702402241,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.312298402535
 01/01  04:00:00,0.728309090165,7.7476848033,0.0,7.40286845177,0.0,0.203825285266,0.203825285266,0.203825285266,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.319236179657
 01/01  05:00:00,0.727716489346,7.87849203165,0.0,7.46062021098,0.0,0.205415380899,0.205415380899,0.205415380899,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.393257943221
 01/01  06:00:00,0.782409656528,8.16335253546,0.0,7.42478190766,0.0,0.204428634688,0.204428634688,0.204428634688,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.711103518803
 01/01  07:00:00,1.00532700957,8.54782751199,0.0,7.20786950074,0.0,0.198456323616,0.198456323616,0.198456323616,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30822246786
 01/01  08:00:00,1.34479780207,9.1087094806,0.0,7.59399916968,0.0,0.209087741753,0.209087741753,0.209087741753,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.48098891838
 01/01  09:00:00,1.29807090183,8.62760457561,0.0,7.15029518185,0.0,0.196871113498,0.196871113498,0.196871113498,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44879990418
 01/01  10:00:00,1.12932620824,8.47318843278,0.0,7.12779910936,0.0,0.196251722728,0.196251722728,0.196251722728,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.32112544237
 01/01  11:00:00,1.15976648813,9.56037099342,0.0,8.37106406403,0.0,0.230482890781,0.230482890781,0.230482890781,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16447240204
 01/01  12:00:00,1.14646163976,8.2817500108,0.0,7.23676605291,0.0,0.199251940616,0.199251940616,0.199251940616,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.02014182192
 01/01  13:00:00,1.11868387133,7.89075658112,0.0,6.95528291285,0.0,0.19150178516,0.19150178516,0.19150178516,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.911050006256
 01/01  14:00:00,1.08851557764,7.67072417006,0.0,6.80240213317,0.0,0.187292475116,0.187292475116,0.187292475116,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.843053818341
 01/01  15:00:00,1.08527235426,7.51925845258,0.0,6.71402663161,0.0,0.184859207264,0.184859207264,0.184859207264,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.778540790955
