Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.944891034797,8.59595767403,0.0,8.13914615189,0.0,0.22409742886,0.22409742886,0.22409742886,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.428302032556
 01/01  02:00:00,0.822309855075,8.8285915612,0.0,8.46581434684,0.0,0.2330916773,0.2330916773,0.2330916773,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.336527484155
 01/01  03:00:00,0.782711545051,9.2195225182,0.0,8.88289685524,0.0,0.24457532878,0.24457532878,0.24457532878,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.31068027746
 01/01  04:00:00,0.779548937933,9.60700007938,0.0,9.26388315376,0.0,0.255065133035,0.255065133035,0.255065133035,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.317536753753
 01/01  05:00:00,0.782405553281,9.86278498603,0.0,9.44690932878,0.0,0.260104444834,0.260104444834,0.260104444834,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.391261779797
 01/01  06:00:00,0.827505492914,9.79883481326,0.0,9.06264810298,0.0,0.249524471074,0.249524471074,0.249524471074,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.708719601285
 01/01  07:00:00,1.07012984317,10.8991683677,0.0,9.56148746239,0.0,0.263259157216,0.263259157216,0.263259157216,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30594536197
 01/01  08:00:00,1.39770103085,11.0282994707,0.0,9.51542733209,0.0,0.261990970531,0.261990970531,0.261990970531,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47915074612
 01/01  09:00:00,1.34981716274,10.5044122144,0.0,9.02970264525,0.0,0.248617374404,0.248617374404,0.248617374404,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44620007952
 01/01  10:00:00,1.17500942368,10.1299535134,0.0,8.78699872204,0.0,0.241934938169,0.241934938169,0.241934938169,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31869091036
 01/01  11:00:00,1.21314587036,11.4966636637,0.0,10.3097859659,0.0,0.283862273011,0.283862273011,0.283862273011,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16204317045
 01/01  12:00:00,1.19698763511,10.1148126351,0.0,9.07185386566,0.0,0.249777935959,0.249777935959,0.249777935959,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01811663343
 01/01  13:00:00,1.16531485615,9.58159679075,0.0,8.64890520302,0.0,0.238132769984,0.238132769984,0.238132769984,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.908267925712
 01/01  14:00:00,1.13092340745,9.20824882347,0.0,8.34264079889,0.0,0.229700304927,0.229700304927,0.229700304927,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.840339806033
 01/01  15:00:00,1.12356975103,8.9077823008,0.0,8.10497569824,0.0,0.223156604029,0.223156604029,0.223156604029,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.776115572543
 01/01  16:00:00,1.19102551142,8.79853073092,0.0,7.98712097945,0.0,0.219911676494,0.219911676494,0.219911676494,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.783235041056
 01/01  17:00:00,1.44524543293,8.5338073015,0.0,7.63487776083,0.0,0.210213263644,0.210213263644,0.210213263644,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.865603796242
 01/01  18:00:00,1.92480642147,8.32562100005,0.0,7.25691523591,0.0,0.199806713809,0.199806713809,0.199806713809,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.02822031069
 01/01  19:00:00,2.28566546381,9.09481893851,0.0,7.86259554588,0.0,0.216483082269,0.216483082269,0.216483082269,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.18826840962
 01/01  20:00:00,2.21058998448,7.67604406081,0.0,6.40887279275,0.0,0.176457319717,0.176457319717,0.176457319717,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.2218010822
 01/01  21:00:00,2.0467150991,7.29077138459,0.0,6.10949308417,0.0,0.168214412944,0.168214412944,0.168214412944,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13434834799
 01/01  22:00:00,1.87917333309,7.34000938905,0.0,6.27524065508,0.0,0.172777988015,0.172777988015,0.172777988015,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.01893442245
 01/01  23:00:00,1.55647652253,7.41227934702,0.0,6.53267319973,0.0,0.179865951578,0.179865951578,0.179865951578,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.839942424521
 01/01  24:00:00,1.24313271139,7.82543947417,0.0,7.15169801101,0.0,0.196909737993,0.196909737993,0.196909737993,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.639274426107
 01/02  01:00:00,0.922075472621,7.98989226007,0.0,7.54924635499,0.0,0.207855549761,0.207855549761,0.207855549761,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.412136415493
 01/02  02:00:00,0.802003629365,8.22595324376,0.0,7.8716534334,0.0,0.216732475666,0.216732475666,0.216732475666,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.328050080151
 01/02  03:00:00,0.759149847709,8.45260660232,0.0,8.12198296199,0.0,0.223624869865,0.223624869865,0.223624869865,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.304678254829
 01/02  04:00:00,0.761177554851,8.98306100226,0.0,8.64623149881,0.0,0.238059154124,0.238059154124,0.238059154124,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.311249331579
 01/02  05:00:00,0.766044215895,9.35250898918,0.0,8.94968635377,0.0,0.246414263064,0.246414263064,0.246414263064,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.378208757966
