Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,1.05453204396,12.5742679779,0.0,12.1212721512,0.0,0.333738438027,0.333738438027,0.333738438027,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.424486337046
 01/01  02:00:00,0.9401914933,13.1059308514,0.0,12.7472373289,0.0,0.350973315525,0.350973315525,0.350973315525,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.332443792316
 01/01  03:00:00,0.905204985166,13.6643515875,0.0,13.3318189906,0.0,0.367068768895,0.367068768895,0.367068768895,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.306587211358
 01/01  04:00:00,0.889594453971,13.5997498558,0.0,13.2607007119,0.0,0.365110649073,0.365110649073,0.365110649073,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.313468972066
 01/01  05:00:00,0.888094266332,13.6970616779,0.0,13.2854892112,0.0,0.365793157885,0.365793157885,0.365793157885,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.386958589222
 01/01  06:00:00,0.943682826864,14.014617985,0.0,13.2821713048,0.0,0.365701805024,0.365701805024,0.365701805024,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.704979571158
 01/01  07:00:00,1.18073560382,14.9123881706,0.0,13.5786529238,0.0,0.373864917871,0.373864917871,0.373864917871,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.3019997034
 01/01  08:00:00,1.48763402798,14.2900037209,0.0,12.7817647071,0.0,0.351923967663,0.351923967663,0.351923967663,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47451762123
 01/01  09:00:00,1.45280307045,14.2409897343,0.0,12.7701175116,0.0,0.351603282111,0.351603282111,0.351603282111,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44236273317
 01/01  10:00:00,1.2801931687,13.9464182619,0.0,12.6072383289,0.0,0.34711868319,0.34711868319,0.34711868319,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31491605198
 01/01  11:00:00,1.32464445278,15.5424100242,0.0,14.3593784253,0.0,0.395360855437,0.395360855437,0.395360855437,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.15819707158
 01/01  12:00:00,1.29239163494,13.575412311,0.0,12.5368962896,0.0,0.34518193579,0.34518193579,0.34518193579,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01367388548
 01/01  13:00:00,1.26834982193,13.3204553474,0.0,12.3911018425,0.0,0.341167735758,0.341167735758,0.341167735758,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.904929842916
 01/01  14:00:00,1.23613453343,13.0256922077,0.0,12.1638748734,0.0,0.334911430908,0.334911430908,0.334911430908,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.836549115821
 01/01  15:00:00,1.23192640531,12.8393844984,0.0,12.0404543434,0.0,0.331513258308,0.331513258308,0.331513258308,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.77223912501
 01/01  16:00:00,1.29534262876,12.5832801489,0.0,11.7758849491,0.0,0.324228793832,0.324228793832,0.324228793832,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.779220489365
 01/01  17:00:00,1.55622400341,12.560569715,0.0,11.6655835543,0.0,0.321191834118,0.321191834118,0.321191834118,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.861660416214
 01/01  18:00:00,2.03631262511,12.371750463,0.0,11.3067844953,0.0,0.311312917448,0.311312917448,0.311312917448,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.02448051418
 01/01  19:00:00,2.41456209643,13.772210199,0.0,12.5440795626,0.0,0.34537971489,0.34537971489,0.34537971489,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.18417565344
 01/01  20:00:00,2.33322772603,12.1255246523,0.0,10.8630359095,0.0,0.299095061265,0.299095061265,0.299095061265,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.21711855691
