Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.943035471403,8.52886398778,0.0,8.07175268944,0.0,0.222241865466,0.222241865466,0.222241865466,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.428601808757
 01/01  02:00:00,0.81670798607,8.62584189608,0.0,8.26235627599,0.0,0.227489808295,0.227489808295,0.227489808295,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.337235889889
 01/01  03:00:00,0.767374978941,8.66297552299,0.0,8.32587773337,0.0,0.22923876267,0.22923876267,0.22923876267,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.311152404118
 01/01  04:00:00,0.75518604302,8.72263333502,0.0,8.37903068852,0.0,0.230702238121,0.230702238121,0.230702238121,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.318022474631
 01/01  05:00:00,0.752667271268,8.78357928755,0.0,8.36682454226,0.0,0.230366162821,0.230366162821,0.230366162821,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.39214086784
 01/01  06:00:00,0.806996826762,9.05534840517,0.0,8.31777998005,0.0,0.229015804922,0.229015804922,0.229015804922,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.710101316124
 01/01  07:00:00,1.04931146984,10.144436392,0.0,8.80537087498,0.0,0.242440783888,0.242440783888,0.242440783888,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30732997368
 01/01  08:00:00,1.37727755809,10.2875851967,0.0,8.77365340567,0.0,0.241567497773,0.241567497773,0.241567497773,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.48021039851
 01/01  09:00:00,1.324074066,9.57052208178,0.0,8.09472169591,0.0,0.222874277663,0.222874277663,0.222874277663,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44729089628
 01/01  10:00:00,1.14783362393,9.14431554728,0.0,7.79998246259,0.0,0.214759138416,0.214759138416,0.214759138416,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.32006920365
 01/01  11:00:00,1.16965151636,9.91839195686,0.0,8.73008509297,0.0,0.240367919012,0.240367919012,0.240367919012,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16347233654
 01/01  12:00:00,1.1466146402,8.28667203895,0.0,7.24232297926,0.0,0.199404941052,0.199404941052,0.199404941052,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01950692371
 01/01  13:00:00,1.0891877325,6.81908728751,0.0,5.88399268841,0.0,0.162005646329,0.162005646329,0.162005646329,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.910670937083
 01/01  14:00:00,1.05602022989,6.49053841799,0.0,5.62218161069,0.0,0.154797127368,0.154797127368,0.154797127368,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.843088588744
 01/01  15:00:00,1.05138679621,6.28951902379,0.0,5.48331412063,0.0,0.150973649218,0.150973649218,0.150973649218,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.779513873151
 01/01  16:00:00,1.12491112326,6.40054073231,0.0,5.58586778025,0.0,0.153797288333,0.153797288333,0.153797288333,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.786498241645
 01/01  17:00:00,1.39819726986,6.82833119228,0.0,5.92610369154,0.0,0.163165100571,0.163165100571,0.163165100571,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.868901756307
 01/01  18:00:00,1.92261168094,8.24900139739,0.0,7.17720296928,0.0,0.197611973272,0.197611973272,0.197611973272,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.03131297466
 01/01  19:00:00,2.239860685,7.43267014533,0.0,6.19898079087,0.0,0.170678303456,0.170678303456,0.170678303456,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.18973437145
 01/01  20:00:00,2.20217366178,7.37194568756,0.0,6.10319467357,0.0,0.168040997011,0.168040997011,0.168040997011,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22338082813
 01/01  21:00:00,2.05127456103,7.45906292066,0.0,6.2750912673,0.0,0.172773874879,0.172773874879,0.172773874879,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13704170093
 01/01  22:00:00,1.89033380302,7.74718306084,0.0,6.68058531405,0.0,0.183938457944,0.183938457944,0.183938457944,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.02076343527
 01/01  23:00:00,1.57212980285,7.9815289204,0.0,7.10119527906,0.0,0.195519231892,0.195519231892,0.195519231892,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.840669918573
 01/01  24:00:00,1.25240312544,8.16264428367,0.0,7.4883964516,0.0,0.206180152042,0.206180152042,0.206180152042,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.639780795019
 01/02  01:00:00,0.929148685461,8.24721091948,0.0,7.80614315814,0.0,0.214928762601,0.214928762601,0.214928762601,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.41255827175
 01/02  02:00:00,0.81103539364,8.55451726173,0.0,8.19968419135,0.0,0.225764239941,0.225764239941,0.225764239941,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.328583340183
 01/02  03:00:00,0.766486525671,8.71971049305,0.0,8.3884487332,0.0,0.230961547828,0.230961547828,0.230961547828,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.305316374349
 01/02  04:00:00,0.757217593502,8.83964062033,0.0,8.5024069831,0.0,0.234099192775,0.234099192775,0.234099192775,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.311653465364
 01/02  05:00:00,0.755522131992,8.97072425902,0.0,8.56752766883,0.0,0.23589217916,0.23589217916,0.23589217916,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.378582712737
 01/02  06:00:00,0.807955906672,9.19997899255,0.0,8.50140400278,0.0,0.234071577433,0.234071577433,0.234071577433,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.671107880773
