Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.959135375907,9.11526811728,0.0,8.65649601496,0.0,0.238341769971,0.238341769971,0.238341769971,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.430262612738
 01/01  02:00:00,0.835565783284,9.31110244676,0.0,8.94726537293,0.0,0.246347605509,0.246347605509,0.246347605509,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.337587343622
 01/01  03:00:00,0.787928185797,9.4096953489,0.0,9.07236356025,0.0,0.249791969526,0.249791969526,0.249791969526,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.31138640314
 01/01  04:00:00,0.773515495059,9.38864334167,0.0,9.04475045954,0.0,0.24903169016,0.24903169016,0.24903169016,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.318312710261
 01/01  05:00:00,0.770985011722,9.44875896426,0.0,9.03211895233,0.0,0.248683903275,0.248683903275,0.248683903275,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.392026134478
 01/01  06:00:00,0.818545940553,9.47443409139,0.0,8.73724005838,0.0,0.240564918712,0.240564918712,0.240564918712,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.709726924014
 01/01  07:00:00,1.03860082832,9.75495032881,0.0,8.41636383853,0.0,0.231730142372,0.231730142372,0.231730142372,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30685094689
 01/01  08:00:00,1.35409782677,9.44537354247,0.0,7.93177305952,0.0,0.218387766453,0.218387766453,0.218387766453,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47987909041
 01/01  09:00:00,1.31178642389,9.12468163243,0.0,7.64843850783,0.0,0.210586635553,0.210586635553,0.210586635553,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44773363502
 01/01  10:00:00,1.13428227495,8.65231098084,0.0,7.30780184992,0.0,0.201207789445,0.201207789445,0.201207789445,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.32024524987
