Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.929856130608,8.05038445641,0.0,7.59308329345,0.0,0.209062524671,0.209062524671,0.209062524671,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.42879167338
 01/01  02:00:00,0.80600048422,8.23690964697,0.0,7.87346327121,0.0,0.216782306445,0.216782306445,0.216782306445,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.337196645563
 01/01  03:00:00,0.763180814925,8.51114539692,0.0,8.17354705253,0.0,0.225044598654,0.225044598654,0.225044598654,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.311652958879
 01/01  04:00:00,0.754715198917,8.70612270018,0.0,8.36192978295,0.0,0.230231394018,0.230231394018,0.230231394018,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.318612745368
 01/01  05:00:00,0.763364475705,9.17262110422,0.0,8.75534354836,0.0,0.241063367258,0.241063367258,0.241063367258,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.392663678403
 01/01  06:00:00,0.814879830802,9.34222864526,0.0,8.60408813772,0.0,0.236898808962,0.236898808962,0.236898808962,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.710673398544
 01/01  07:00:00,1.03581023557,9.65400180331,0.0,8.3150104122,0.0,0.228939549622,0.228939549622,0.228939549622,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30725584773
 01/01  08:00:00,1.3569033339,9.54740741303,0.0,8.03366817104,0.0,0.221193273576,0.221193273576,0.221193273576,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.48001784946
 01/01  09:00:00,1.32322787626,9.54050460947,0.0,8.06398835816,0.0,0.222028087922,0.222028087922,0.222028087922,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44800676172
 01/01  10:00:00,1.15523067296,9.41325144961,0.0,8.0686408914,0.0,0.222156187445,0.222156187445,0.222156187445,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.32034667716
 01/01  11:00:00,1.17604290112,10.1504306005,0.0,8.96221812084,0.0,0.246759303775,0.246759303775,0.246759303775,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16337795234
 01/01  12:00:00,1.15924417086,8.7453830371,0.0,7.70102344892,0.0,0.212034471711,0.212034471711,0.212034471711,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01951745221
 01/01  13:00:00,1.12178755855,8.00289343894,0.0,7.06800782913,0.0,0.194605472382,0.194605472382,0.194605472382,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.9104619478
 01/01  14:00:00,1.07415595781,7.14837308464,0.0,6.28086538425,0.0,0.172932855285,0.172932855285,0.172932855285,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.842239481842
 01/01  15:00:00,1.05956634379,6.58563797958,0.0,5.78039264378,0.0,0.159153196797,0.159153196797,0.159153196797,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.778554305786
 01/01  16:00:00,1.13755632531,6.85907884192,0.0,6.04513742962,0.0,0.16644249038,0.16644249038,0.16644249038,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.785766701885
 01/01  17:00:00,1.40090935082,6.92627780312,0.0,6.0246055951,0.0,0.165877181533,0.165877181533,0.165877181533,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.868346463586
 01/01  18:00:00,1.92383267013,8.29317305631,0.0,7.22154890194,0.0,0.198832962465,0.198832962465,0.198832962465,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.03113870092
 01/01  19:00:00,2.23653241701,7.31204313705,0.0,6.07809917374,0.0,0.167350035467,0.167350035467,0.167350035467,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.1899889803
 01/01  20:00:00,2.19938186651,7.27057491736,0.0,6.00179757227,0.0,0.165249201745,0.165249201745,0.165249201745,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22340715924
 01/01  21:00:00,2.05066240709,7.43739244776,0.0,6.25285803401,0.0,0.172161720935,0.172161720935,0.172161720935,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13760446132
 01/01  22:00:00,1.885576279,7.57457918668,0.0,6.50779358025,0.0,0.17918093393,0.17918093393,0.17918093393,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.02095129492
