Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,1.02176298689,11.3822871139,0.0,10.9311105945,0.0,0.300969380952,0.300969380952,0.300969380952,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.42266702983
 01/01  02:00:00,0.88607811161,11.1403891856,0.0,10.781856804,0.0,0.296859933835,0.296859933835,0.296859933835,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.332282651396
 01/01  03:00:00,0.833306161295,11.0533293479,0.0,10.7204769569,0.0,0.295169945024,0.295169945024,0.295169945024,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.306907005546
 01/01  04:00:00,0.826308450707,11.3018393983,0.0,10.9621735375,0.0,0.301824645808,0.301824645808,0.301824645808,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.314085688902
 01/01  05:00:00,0.826391534956,11.4575976209,0.0,11.0444659599,0.0,0.304090426509,0.304090426509,0.304090426509,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.388517783574
 01/01  06:00:00,0.884458544968,11.8651250258,0.0,11.1311645372,0.0,0.306477523128,0.306477523128,0.306477523128,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.706493379608
 01/01  07:00:00,1.13457908241,13.2378185259,0.0,11.9022629913,0.0,0.327708396459,0.327708396459,0.327708396459,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30381999113
 01/01  08:00:00,1.44852459597,12.8711896877,0.0,11.3613227828,0.0,0.312814535649,0.312814535649,0.312814535649,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47614551229
 01/01  09:00:00,1.41371426429,12.8224722059,0.0,11.3504247117,0.0,0.312514475953,0.312514475953,0.312514475953,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44353800464
 01/01  10:00:00,1.24641154088,12.7210177692,0.0,11.3803005301,0.0,0.313337055368,0.313337055368,0.313337055368,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31645335813
 01/01  11:00:00,1.28385758375,14.0623701115,0.0,12.878012531,0.0,0.354573986407,0.354573986407,0.354573986407,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.15952305311
 01/01  12:00:00,1.25721262627,12.2994042244,0.0,11.2592060704,0.0,0.310002927125,0.310002927125,0.310002927125,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01535601801
 01/01  13:00:00,1.23044019522,11.9446936498,0.0,11.0142364589,0.0,0.30325810905,0.30325810905,0.30325810905,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.906033528829
