Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.950079753008,8.78423213967,0.0,8.32759871949,0.0,0.229286147072,0.229286147072,0.229286147072,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.42812393059
 01/01  02:00:00,0.83392075656,9.25037968686,0.0,8.88751853426,0.0,0.244702578785,0.244702578785,0.244702578785,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.3366114224
 01/01  03:00:00,0.790197742404,9.49148784406,0.0,9.15479312237,0.0,0.252061526134,0.252061526134,0.252061526134,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.310749336189
 01/01  04:00:00,0.778696597007,9.57595212911,0.0,9.23292640693,0.0,0.254212792108,0.254212792108,0.254212792108,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.317445550308
 01/01  05:00:00,0.783310200783,9.89582566467,0.0,9.47976583355,0.0,0.261009092336,0.261009092336,0.261009092336,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.391445953665
 01/01  06:00:00,0.845104402701,10.4386941265,0.0,9.70183481565,0.0,0.267123380861,0.267123380861,0.267123380861,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.709392201843
 01/01  07:00:00,1.09498734644,11.8025377933,0.0,10.4643039433,0.0,0.288116660488,0.288116660488,0.288116660488,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30649830658
 01/01  08:00:00,1.40116322525,11.153824962,0.0,9.64117311322,0.0,0.265453164933,0.265453164933,0.265453164933,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47893045622
 01/01  09:00:00,1.36446637551,11.03607999,0.0,9.56175731611,0.0,0.263266587175,0.263266587175,0.263266587175,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44581318426
 01/01  10:00:00,1.1890726983,10.6409168237,0.0,9.29777230869,0.0,0.255998212788,0.255998212788,0.255998212788,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31888063398
 01/01  11:00:00,1.21028150739,11.3926261435,0.0,10.205753229,0.0,0.280997910042,0.280997910042,0.280997910042,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16203838706
 01/01  12:00:00,1.16667904245,9.01370559724,0.0,7.97105558114,0.0,0.219469343307,0.219469343307,0.219469343307,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01780788012
 01/01  13:00:00,1.13032606184,8.31224838735,0.0,7.37812350777,0.0,0.203143975676,0.203143975676,0.203143975676,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.909701217568
 01/01  14:00:00,1.09249416002,7.81394034771,0.0,6.94690295873,0.0,0.191271057497,0.191271057497,0.191271057497,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.84176917043
 01/01  15:00:00,1.08429037997,7.48256758867,0.0,6.67836164293,0.0,0.183877232974,0.183877232974,0.183877232974,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.777514915725
 01/01  16:00:00,1.15864775264,7.62443875759,0.0,6.81117124995,0.0,0.187533917705,0.187533917705,0.187533917705,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.785092797225
 01/01  17:00:00,1.42325869738,7.73690735782,0.0,6.83632663506,0.0,0.188226528087,0.188226528087,0.188226528087,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.867254978323
 01/01  18:00:00,1.94801194147,9.17022171375,0.0,8.09973221859,0.0,0.223012233811,0.223012233811,0.223012233811,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.03000404171
 01/01  19:00:00,2.25999574859,8.16300209624,0.0,6.93027978962,0.0,0.190813367048,0.190813367048,0.190813367048,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.18876732361
