Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.912491912205,7.42120091633,0.0,6.96242049597,0.0,0.191698306269,0.191698306269,0.191698306269,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.430270930774
 01/01  02:00:00,0.789980792771,7.65632007607,0.0,7.29163325791,0.0,0.200762614996,0.200762614996,0.200762614996,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.338437087965
 01/01  03:00:00,0.74400183395,7.8154518289,0.0,7.47697266524,0.0,0.205865617679,0.205865617679,0.205865617679,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.312533778155
 01/01  04:00:00,0.733527304903,7.9373685389,0.0,7.59239232371,0.0,0.209043500005,0.209043500005,0.209043500005,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.319396043329
 01/01  05:00:00,0.734760809212,8.13449001862,0.0,7.71646763065,0.0,0.212459700765,0.212459700765,0.212459700765,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.393408510517
 01/01  06:00:00,0.790339403312,8.45161334445,0.0,7.7127877467,0.0,0.212358381472,0.212358381472,0.212358381472,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.711358488753
 01/01  07:00:00,1.01422123026,8.87109373259,0.0,7.53090472004,0.0,0.207350544302,0.207350544302,0.207350544302,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30845346917
 01/01  08:00:00,1.35483611709,9.47348383482,0.0,7.95858752527,0.0,0.219126056774,0.219126056774,0.219126056774,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.48117491701
 01/01  09:00:00,1.29996864514,8.6964672453,0.0,7.21922060513,0.0,0.198768856806,0.198768856806,0.198768856806,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44873715059
 01/01  10:00:00,1.1086679367,7.72326417889,0.0,6.37749736729,0.0,0.175593451193,0.175593451193,0.175593451193,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.32150293056
 01/01  11:00:00,1.12167474534,8.17798549015,0.0,6.98758428323,0.0,0.19239114799,0.19239114799,0.19239114799,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16556667956
 01/01  12:00:00,1.099099931,6.56320118731,0.0,5.51660410543,0.0,0.151890231849,0.151890231849,0.151890231849,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.0217549459
 01/01  13:00:00,1.05141401796,5.44970445875,0.0,4.51206359081,0.0,0.124231931788,0.124231931788,0.124231931788,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.913217205929
 01/01  14:00:00,1.01322334946,4.93865237794,0.0,4.06781275245,0.0,0.112000246942,0.112000246942,0.112000246942,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.845571406935
 01/01  15:00:00,1.01013758498,4.79348410573,0.0,3.9851561069,0.0,0.109724437981,0.109724437981,0.109724437981,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.781636968812
 01/01  16:00:00,1.08855708193,5.08285040197,0.0,4.26550075457,0.0,0.117443247002,0.117443247002,0.117443247002,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.789174936981
