Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.904851444208,7.1433982912,0.0,6.68492116894,0.0,0.184057838272,0.184057838272,0.184057838272,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.429967632668
 01/01  02:00:00,0.781565529779,7.35042305184,0.0,6.98599362719,0.0,0.192347352004,0.192347352004,0.192347352004,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.338179694448
 01/01  03:00:00,0.735232903787,7.49703832489,0.0,7.15848795725,0.0,0.197096687516,0.197096687516,0.197096687516,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.312604982136
 01/01  04:00:00,0.732385738186,7.89605616066,0.0,7.55093098967,0.0,0.207901933288,0.207901933288,0.207901933288,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.319544999118
 01/01  05:00:00,0.731684453262,8.02310186477,0.0,7.60473537733,0.0,0.209383344815,0.209383344815,0.209383344815,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.393752609983
 01/01  06:00:00,0.779739793514,8.06626105177,0.0,7.32781334631,0.0,0.201758771673,0.201758771673,0.201758771673,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.710980596467
 01/01  07:00:00,1.02134176509,9.12944612516,0.0,7.78952024286,0.0,0.214471079141,0.214471079141,0.214471079141,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30819033891
 01/01  08:00:00,1.35143076203,9.34986217978,0.0,7.8349061305,0.0,0.21572070171,0.21572070171,0.21572070171,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.48123465674
 01/01  09:00:00,1.29650994156,8.57056165684,0.0,7.09360160956,0.0,0.195310153227,0.195310153227,0.195310153227,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.4484505577
 01/01  10:00:00,1.110791041,7.80007669556,0.0,6.45460782875,0.0,0.177716555488,0.177716555488,0.177716555488,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.32120498576
 01/01  11:00:00,1.12030685812,8.12779065509,0.0,6.93790306169,0.0,0.191023260769,0.191023260769,0.191023260769,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16505306604
 01/01  12:00:00,1.09988077174,6.59103151845,0.0,5.54496398881,0.0,0.152671072595,0.152671072595,0.152671072595,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.02122539366
 01/01  13:00:00,1.06212488582,5.83807534803,0.0,4.90107884801,0.0,0.134942799648,0.134942799648,0.134942799648,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.912572837998
 01/01  14:00:00,1.03634598564,5.77737068548,0.0,4.90761942136,0.0,0.135122883117,0.135122883117,0.135122883117,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.844483045567
 01/01  15:00:00,1.03748900247,5.78612345356,0.0,4.97855074574,0.0,0.137075855471,0.137075855471,0.137075855471,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.78088167781
 01/01  16:00:00,1.10956623349,5.84423233851,0.0,5.02854634549,0.0,0.138452398556,0.138452398556,0.138452398556,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.787511282604
 01/01  17:00:00,1.37845382536,6.11204058393,0.0,5.20902817155,0.0,0.143421656071,0.143421656071,0.143421656071,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.86968666795
 01/01  18:00:00,1.8903271662,7.07730903863,0.0,6.00463983345,0.0,0.165327458532,0.165327458532,0.165327458532,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.03218375173
 01/01  19:00:00,2.20565819584,6.19197232314,0.0,4.9567574445,0.0,0.136475814301,0.136475814301,0.136475814301,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.19125989564
 01/01  20:00:00,2.1722292964,6.2860856219,0.0,5.015625006,0.0,0.138096631636,0.138096631636,0.138096631636,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22509043005
 01/01  21:00:00,2.02487960232,6.50224276056,0.0,5.31643490217,0.0,0.146378916172,0.146378916172,0.146378916172,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13887790596
 01/01  22:00:00,1.86171920636,6.70936886726,0.0,5.64131241644,0.0,0.155323861291,0.155323861291,0.155323861291,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.0222221393
 01/01  23:00:00,1.54457579868,6.98198896416,0.0,6.10044275756,0.0,0.167965227724,0.167965227724,0.167965227724,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.841882483829
 01/01  24:00:00,1.22491405052,7.16569677716,0.0,6.49000213948,0.0,0.178691077125,0.178691077125,0.178691077125,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.641227600631
 01/02  01:00:00,0.903803603391,7.32766372961,0.0,6.88561797299,0.0,0.189583680532,0.189583680532,0.189583680532,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.413536267035
 01/02  02:00:00,0.7801511627,7.43405737309,0.0,7.07797891037,0.0,0.194880009001,0.194880009001,0.194880009001,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.329828732521
 01/02  03:00:00,0.734688051959,7.56571088745,0.0,7.23353845036,0.0,0.199163074116,0.199163074116,0.199163074116,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.306227051578
 01/02  04:00:00,0.724075289544,7.63688782593,0.0,7.29868922025,0.0,0.200956888817,0.200956888817,0.200956888817,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.312618433806
 01/02  05:00:00,0.72367620035,7.81521909386,0.0,7.41089372931,0.0,0.204046247518,0.204046247518,0.204046247518,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.379711487093
 01/02  06:00:00,0.780733127776,8.2122707616,0.0,7.51268147603,0.0,0.206848798536,0.206848798536,0.206848798536,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.672122176574
 01/02  07:00:00,0.99942822768,8.63006217696,0.0,7.37954281784,0.0,0.203183053945,0.203183053945,0.203183053945,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21878381573
 01/02  08:00:00,1.31080270816,8.5333316215,0.0,7.12788217368,0.0,0.196254009761,0.196254009761,0.196254009761,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.37172805528
 01/02  09:00:00,1.27027515591,8.6816765182,0.0,7.31887495729,0.0,0.201512668463,0.201512668463,0.201512668463,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33429207133
 01/02  10:00:00,1.09134248314,8.62341498766,0.0,7.38375597846,0.0,0.203299056096,0.203299056096,0.203299056096,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21539512815
