Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.938502339499,8.36432606667,0.0,7.90711080454,0.0,0.217708733563,0.217708733563,0.217708733563,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.428705772542
 01/01  02:00:00,0.80154146252,8.0745382634,0.0,7.71151304492,0.0,0.212323284745,0.212323284745,0.212323284745,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.336775488275
 01/01  03:00:00,0.751020831714,8.06874623321,0.0,7.73190039437,0.0,0.212884615443,0.212884615443,0.212884615443,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.310900453333
 01/01  04:00:00,0.738816644968,8.12833049306,0.0,7.78449944449,0.0,0.214332840069,0.214332840069,0.214332840069,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.318250876707
 01/01  05:00:00,0.738140900683,8.25638187279,0.0,7.83923145988,0.0,0.215839792236,0.215839792236,0.215839792236,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.392536535457
 01/01  06:00:00,0.795076398205,8.62270716355,0.0,7.88483386944,0.0,0.217095376365,0.217095376365,0.217095376365,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.710406185114
 01/01  07:00:00,1.01907779138,9.04660812791,0.0,7.70729344961,0.0,0.212207105426,0.212207105426,0.212207105426,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30757913492
 01/01  08:00:00,1.35962660038,9.64660416306,0.0,8.13257632921,0.0,0.223916540062,0.223916540062,0.223916540062,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.48030644131
 01/01  09:00:00,1.31271892597,9.15887698284,0.0,7.68230668196,0.0,0.211519137636,0.211519137636,0.211519137636,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44806081129
 01/01  10:00:00,1.14360945007,8.99112414121,0.0,7.64656183416,0.0,0.210534964563,0.210534964563,0.210534964563,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.320298426
