Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.888828026257,6.56407166556,0.0,6.10295581031,0.0,0.168034420321,0.168034420321,0.168034420321,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.432606365666
 01/01  02:00:00,0.773443561371,7.05743216093,0.0,6.69100636095,0.0,0.184225383596,0.184225383596,0.184225383596,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.340176069777
 01/01  03:00:00,0.732855118245,7.4123832838,0.0,7.07212755523,0.0,0.194718901974,0.194718901974,0.194718901974,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.31431034306
 01/01  04:00:00,0.727405651711,7.71608340615,0.0,7.37005585925,0.0,0.202921846812,0.202921846812,0.202921846812,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.320447375036
 01/01  05:00:00,0.727975913156,7.88908828707,0.0,7.47004239988,0.0,0.205674804709,0.205674804709,0.205674804709,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.394432009734
 01/01  06:00:00,0.784315763252,8.23349136973,0.0,7.49401108752,0.0,0.206334741412,0.206334741412,0.206334741412,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.712013173224
 01/01  07:00:00,1.02037334108,9.09511428155,0.0,7.75434739602,0.0,0.213502655132,0.213502655132,0.213502655132,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30903134215
 01/01  08:00:00,1.34604409826,9.15463526027,0.0,7.63926424437,0.0,0.210334037945,0.210334037945,0.210334037945,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.48164962336
 01/01  09:00:00,1.29149129831,8.38881754427,0.0,6.91132610942,0.0,0.190291509973,0.190291509973,0.190291509973,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44898194526
 01/01  10:00:00,1.08444062239,6.84331352839,0.0,5.49756914564,0.0,0.151366136881,0.151366136881,0.151366136881,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.3214805017
 01/01  11:00:00,1.07073761841,6.32788949173,0.0,5.13756430434,0.0,0.141454021063,0.141454021063,0.141454021063,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16549066002
 01/01  12:00:00,1.0720389064,5.58130135433,0.0,4.53375644255,0.0,0.124829207253,0.124829207253,0.124829207253,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.0227027758
 01/01  13:00:00,1.04062798111,5.05815776376,0.0,4.12031822034,0.0,0.113445894942,0.113445894942,0.113445894942,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.913415881401
 01/01  14:00:00,1.00748117722,4.72960876962,0.0,3.85925891343,0.0,0.1062580747,0.1062580747,0.1062580747,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.845081637636
 01/01  15:00:00,0.992602572736,4.15604494774,0.0,3.34829013242,0.0,0.0921894257397,0.0921894257397,0.0921894257397,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.781063785304
 01/01  16:00:00,1.05576987369,3.8910959168,0.0,3.07467995335,0.0,0.0846560387609,0.0846560387609,0.0846560387609,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.788241253025
 01/01  17:00:00,1.3199699827,3.98956883885,0.0,3.08491391741,0.0,0.0849378134076,0.0849378134076,0.0849378134076,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.871329177015
 01/01  18:00:00,1.82682295302,4.77287084331,0.0,3.69818734555,0.0,0.101823245352,0.101823245352,0.101823245352,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.0341980443
 01/01  19:00:00,2.15124914449,4.21815267445,0.0,2.98063829311,0.0,0.0820667629484,0.0820667629484,0.0820667629484,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.19355939833
 01/01  20:00:00,2.11679723552,4.27519718029,0.0,3.00235047919,0.0,0.0826645707508,0.0826645707508,0.0826645707508,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22747651524
 01/01  21:00:00,1.97021690904,4.51915113086,0.0,3.33110355772,0.0,0.091716222884,0.091716222884,0.091716222884,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.14111762071
 01/01  22:00:00,1.8103677643,4.84660890936,0.0,3.77624464563,0.0,0.103972419224,0.103972419224,0.103972419224,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.02452995221
 01/01  23:00:00,1.49383583362,5.14150103052,0.0,4.25758363404,0.0,0.117225262668,0.117225262668,0.117225262668,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.844253673715
 01/01  24:00:00,1.17650977871,5.40986823849,0.0,4.73197463938,0.0,0.130286805315,0.130286805315,0.130286805315,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.643426562058
 01/02  01:00:00,0.857092531597,5.63352245535,0.0,5.18908694994,0.0,0.142872608737,0.142872608737,0.142872608737,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.415926015828
 01/02  02:00:00,0.73887016013,5.93651209715,0.0,5.57866624567,0.0,0.153599006431,0.153599006431,0.153599006431,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.33159612128
 01/02  03:00:00,0.695312846867,6.13770092609,0.0,5.80344373379,0.0,0.159787869023,0.159787869023,0.159787869023,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.308311806796
 01/02  04:00:00,0.686070773611,6.25846068767,0.0,5.91837749074,0.0,0.162952372884,0.162952372884,0.162952372884,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.314503025065
 01/02  05:00:00,0.683375093465,6.35322160775,0.0,5.94717055904,0.0,0.163745140633,0.163745140633,0.163745140633,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.38143717126
 01/02  06:00:00,0.734510246985,6.53508992656,0.0,5.83388139239,0.0,0.160625917745,0.160625917745,0.160625917745,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.673741425172
 01/02  07:00:00,0.958224975353,7.13530106591,0.0,5.88305401684,0.0,0.161979801618,0.161979801618,0.161979801618,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.22051150569
