Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.954260374352,8.93660112572,0.0,8.47943753488,0.0,0.233466768416,0.233466768416,0.233466768416,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.428654101251
 01/01  02:00:00,0.834939537057,9.28711157794,0.0,8.92452031249,0.0,0.245721359282,0.245721359282,0.245721359282,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.336341535251
 01/01  03:00:00,0.794563738631,9.64974742691,0.0,9.31336469351,0.0,0.25642752236,0.25642752236,0.25642752236,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.310437347896
 01/01  04:00:00,0.792560483448,10.0793940937,0.0,9.73645827944,0.0,0.268076678549,0.268076678549,0.268076678549,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.31735564243
 01/01  05:00:00,0.796095396335,10.3597960885,0.0,9.94412000178,0.0,0.273794287888,0.273794287888,0.273794287888,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.391062209239
 01/01  06:00:00,0.85198131074,10.6876721801,0.0,9.95160189188,0.0,0.274000288899,0.274000288899,0.274000288899,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.708603179233
 01/01  07:00:00,1.07535074069,11.0883203298,0.0,9.75110877198,0.0,0.268480054733,0.268480054733,0.268480054733,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30547601447
 01/01  08:00:00,1.39490275759,10.9257988583,0.0,9.4137949522,0.0,0.259192697273,0.259192697273,0.259192697273,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47828251359
 01/01  09:00:00,1.3656000812,11.0774443523,0.0,9.60293314019,0.0,0.264400292865,0.264400292865,0.264400292865,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44600172252
 01/01  10:00:00,1.18908425793,10.6408473055,0.0,9.29819215069,0.0,0.256009772417,0.256009772417,0.256009772417,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31839127377
 01/01  11:00:00,1.21685593824,11.630951646,0.0,10.4445344317,0.0,0.287572340897,0.287572340897,0.287572340897,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16158268687
 01/01  12:00:00,1.20000540247,10.2241892008,0.0,9.18145820047,0.0,0.252795703323,0.252795703323,0.252795703323,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.0178888644
 01/01  13:00:00,1.1746328966,9.9199171761,0.0,8.98733341895,0.0,0.24745081043,0.24745081043,0.24745081043,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.908160095143
 01/01  14:00:00,1.14333952682,9.65936174798,0.0,8.79359023961,0.0,0.2421164243,0.2421164243,0.2421164243,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.840503289819
 01/01  15:00:00,1.14086899382,9.53591692457,0.0,8.73327860254,0.0,0.240455846821,0.240455846821,0.240455846821,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.775947292019
 01/01  16:00:00,1.20209295883,9.20016049886,0.0,8.38908709056,0.0,0.230979123903,0.230979123903,0.230979123903,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.782898697882
 01/01  17:00:00,1.45988769987,9.06507452667,0.0,8.16668016123,0.0,0.224855530581,0.224855530581,0.224855530581,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.865068621004
 01/01  18:00:00,1.93705705558,8.77030477269,0.0,7.70185430545,0.0,0.212057347921,0.212057347921,0.212057347921,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.02796501379
 01/01  19:00:00,2.29463487431,9.42026999608,0.0,8.18836163479,0.0,0.225452492766,0.225452492766,0.225452492766,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.18795337828
 01/01  20:00:00,2.21871290515,7.9706377653,0.0,6.70389464476,0.0,0.184580240384,0.184580240384,0.184580240384,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22137293469
 01/01  21:00:00,2.05535355549,7.60420863603,0.0,6.42323902701,0.0,0.176852869336,0.176852869336,0.176852869336,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13403965659
 01/01  22:00:00,1.88278481885,7.47093126272,0.0,6.40640865026,0.0,0.17638947378,0.17638947378,0.17638947378,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.01868830094
 01/01  23:00:00,1.55747091068,7.44797498218,0.0,6.56878905567,0.0,0.180860339725,0.180860339725,0.180860339725,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.839522203738
 01/01  24:00:00,1.23384087879,7.4877352231,0.0,6.81422165565,0.0,0.187617905394,0.187617905394,0.187617905394,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.639046530397
 01/02  01:00:00,0.913740464934,7.68696701579,0.0,7.24652157104,0.0,0.199520542075,0.199520542075,0.199520542075,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.411935955169
 01/02  02:00:00,0.795276108725,7.98169095427,0.0,7.62731205917,0.0,0.210004955026,0.210004955026,0.210004955026,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.328129164898
 01/02  03:00:00,0.754732297488,8.29221929362,0.0,7.96153896643,0.0,0.219207319644,0.219207319644,0.219207319644,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.304734941681
 01/02  04:00:00,0.750806710009,8.60642321445,0.0,8.26956576768,0.0,0.227688309283,0.227688309283,0.227688309283,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.311277274899
 01/02  05:00:00,0.7517273796,8.8324671071,0.0,8.42970348902,0.0,0.232097426768,0.232097426768,0.232097426768,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.378149740631
 01/02  06:00:00,0.815545688258,9.47537031428,0.0,8.77706241575,0.0,0.241661359018,0.241661359018,0.241661359018,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.67084078954
 01/02  07:00:00,1.0541013887,10.6145039296,0.0,9.36525434705,0.0,0.257856214968,0.257856214968,0.257856214968,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21751403921
 01/02  08:00:00,1.3596092447,10.304005808,0.0,8.90051979849,0.0,0.245060546296,0.245060546296,0.245060546296,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.36976461693
 01/02  09:00:00,1.32071463091,10.5115701305,0.0,9.15082037941,0.0,0.251952143471,0.251952143471,0.251952143471,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33224026148
 01/02  10:00:00,1.13064528267,10.0485173348,0.0,8.81122094852,0.0,0.242601855629,0.242601855629,0.242601855629,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21303250519
 01/02  11:00:00,1.12898628743,10.1981866135,0.0,9.10239811136,0.0,0.250618919375,0.250618919375,0.250618919375,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.0709539748
 01/02  12:00:00,1.08427492358,7.85220261742,0.0,6.88453940289,0.0,0.189553983954,0.189553983954,0.189553983954,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.942821078553
