Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.893932282656,6.74736243321,0.0,6.28834075221,0.0,0.17313867672,0.17313867672,0.17313867672,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.430512191412
 01/01  02:00:00,0.774265293837,7.08584783267,0.0,6.72085141839,0.0,0.185047116062,0.185047116062,0.185047116062,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.338746684084
 01/01  03:00:00,0.730343809261,7.31977316778,0.0,6.980917625,0.0,0.19220759299,0.19220759299,0.19220759299,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.312910157275
 01/01  04:00:00,0.720863182423,7.47776277013,0.0,7.13243549029,0.0,0.196379377524,0.196379377524,0.196379377524,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.319747107973
 01/01  05:00:00,0.726161121359,7.82215506937,0.0,7.40412974862,0.0,0.203860012912,0.203860012912,0.203860012912,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.393411443293
 01/01  06:00:00,0.782796603314,8.17764141269,0.0,7.43883568979,0.0,0.204815581473,0.204815581473,0.204815581473,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.7113386139
 01/01  07:00:00,1.0038889598,8.49564770159,0.0,7.15563999817,0.0,0.197018273848,0.197018273848,0.197018273848,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30827216003
 01/01  08:00:00,1.34454413124,9.09945703914,0.0,7.58478592692,0.0,0.208834070916,0.208834070916,0.208834070916,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.48094971968
 01/01  09:00:00,1.29884690416,8.65581849614,0.0,7.17847933537,0.0,0.197647115823,0.197647115823,0.197647115823,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44882967118
 01/01  10:00:00,1.13129446732,8.54463109503,0.0,7.19928564286,0.0,0.198219981812,0.198219981812,0.198219981812,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.32108157112
 01/01  11:00:00,1.1575045998,9.47805490406,0.0,8.28891301139,0.0,0.228221002454,0.228221002454,0.228221002454,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16430736531
 01/01  12:00:00,1.14915584191,8.37970448376,0.0,7.33461860377,0.0,0.201946142765,0.201946142765,0.201946142765,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.02024374401
 01/01  13:00:00,1.1233976554,8.06181834623,0.0,7.12648602615,0.0,0.196215569234,0.196215569234,0.196215569234,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.910908658066
 01/01  14:00:00,1.09554176837,7.92569828952,0.0,7.05759110872,0.0,0.194318665852,0.194318665852,0.194318665852,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.842838962245
