Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.863815856173,5.65542752288,0.0,5.1945218808,0.0,0.143022250236,0.143022250236,0.143022250236,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.432396152497
 01/01  02:00:00,0.741958524779,5.91453127865,0.0,5.54748001294,0.0,0.152740347004,0.152740347004,0.152740347004,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.340801535503
 01/01  03:00:00,0.697238234327,6.11935449013,0.0,5.77853384845,0.0,0.159102018056,0.159102018056,0.159102018056,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.314875256178
 01/01  04:00:00,0.689219108958,6.33027619035,0.0,5.98313297448,0.0,0.164735304059,0.164735304059,0.164735304059,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.321563044001
 01/01  05:00:00,0.691278808974,6.55738324776,0.0,6.13721544238,0.0,0.168977700527,0.168977700527,0.168977700527,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.395553927932
 01/01  06:00:00,0.750265039224,6.99805919628,0.0,6.25729980149,0.0,0.172284017384,0.172284017384,0.172284017384,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.713292285796
 01/01  07:00:00,0.993050865411,8.10415180604,0.0,6.76200391456,0.0,0.186180179458,0.186180179458,0.186180179458,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.31041234809
 01/01  08:00:00,1.31190759737,7.91591276968,0.0,6.39943757032,0.0,0.176197537051,0.176197537051,0.176197537051,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.48275380681
 01/01  09:00:00,1.26188052722,7.314842879,0.0,5.8358724786,0.0,0.160680738889,0.160680738889,0.160680738889,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.45046091082
 01/01  10:00:00,1.06685729418,6.20640677358,0.0,4.85894835074,0.0,0.133782808669,0.133782808669,0.133782808669,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.32319454179
 01/01  11:00:00,1.06623640357,6.16621044127,0.0,4.97408163686,0.0,0.136952806223,0.136952806223,0.136952806223,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16729427705
 01/01  12:00:00,1.03803797505,4.34739233761,0.0,3.29885361034,0.0,0.0908282758987,0.0908282758987,0.0908282758987,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.0236965913
 01/01  13:00:00,1.00905188179,3.91330501382,0.0,2.97348450347,0.0,0.081869795621,0.081869795621,0.081869795621,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.91539684833
 01/01  14:00:00,0.974539958068,3.53521597639,0.0,2.66284448562,0.0,0.0733168555456,0.0733168555456,0.0733168555456,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.847103272215
 01/01  15:00:00,0.972836122877,3.44003111059,0.0,2.63037906523,0.0,0.0724229758804,0.0724229758804,0.0724229758804,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.782961015344
 01/01  16:00:00,1.05040930632,3.69835248914,0.0,2.8799858799,0.0,0.0792954713917,0.0792954713917,0.0792954713917,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.790191898816
 01/01  17:00:00,1.32134727876,4.04072632553,0.0,3.1349368652,0.0,0.0863151094747,0.0863151094747,0.0863151094747,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.872463715898
 01/01  18:00:00,1.83125325908,4.93448451436,0.0,3.85909462913,0.0,0.106253551414,0.106253551414,0.106253551414,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.03490443178
 01/01  19:00:00,2.15366106982,4.3062041432,0.0,3.06823864103,0.0,0.0844786882743,0.0844786882743,0.0844786882743,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.19401051916
