Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,1.08677001795,13.7426038311,0.0,13.2921449419,0.0,0.365976412014,0.365976412014,0.365976412014,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.421949399617
 01/01  02:00:00,0.963188147446,13.9399394826,0.0,13.5824683713,0.0,0.373969969672,0.373969969672,0.373969969672,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.331221381103
 01/01  03:00:00,0.916465700159,14.0726605484,0.0,13.7408045179,0.0,0.378329483889,0.378329483889,0.378329483889,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.305910645011
 01/01  04:00:00,0.904071745843,14.1247168468,0.0,13.7865112712,0.0,0.379587940944,0.379587940944,0.379587940944,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.312625403741
 01/01  05:00:00,0.901245316162,14.1745734406,0.0,13.7631310885,0.0,0.378944207715,0.378944207715,0.378944207715,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.386828474635
 01/01  06:00:00,0.954379702003,14.4029169748,0.0,13.6706783509,0.0,0.376398680162,0.376398680162,0.376398680162,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.704771514829
 01/01  07:00:00,1.1927406357,15.3483410994,0.0,14.0146717995,0.0,0.385869949745,0.385869949745,0.385869949745,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30193375654
 01/01  08:00:00,1.48787851584,14.2986204476,0.0,12.7906444271,0.0,0.352168455522,0.352168455522,0.352168455522,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47425462792
 01/01  09:00:00,1.44835969431,14.0797926239,0.0,12.6087355269,0.0,0.347159905969,0.347159905969,0.347159905969,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44254760742
 01/01  10:00:00,1.27021511642,13.5841351476,0.0,12.2448386965,0.0,0.337140630908,0.337140630908,0.337140630908,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31503257006
 01/01  11:00:00,1.31124371486,15.0560448578,0.0,13.8726679573,0.0,0.381960117516,0.381960117516,0.381960117516,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.15854237318
 01/01  12:00:00,1.28487722519,13.3029248067,0.0,12.2639753573,0.0,0.337667526039,0.337667526039,0.337667526039,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01410731341
 01/01  13:00:00,1.2439414247,12.4343913749,0.0,11.5045967481,0.0,0.316759338536,0.316759338536,0.316759338536,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.905370964816
 01/01  14:00:00,1.20215815777,11.7925373498,0.0,10.9298638959,0.0,0.300935055244,0.300935055244,0.300935055244,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.837405235328
 01/01  15:00:00,1.18897147689,11.2805208753,0.0,10.4803452333,0.0,0.288558329895,0.288558329895,0.288558329895,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.773484611969
 01/01  16:00:00,1.24778742057,10.8574094419,0.0,10.0486951649,0.0,0.276673585636,0.276673585636,0.276673585636,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.780539566548
 01/01  17:00:00,1.51561133564,11.0870110156,0.0,10.1905445935,0.0,0.280579166349,0.280579166349,0.280579166349,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.863140677711
 01/01  18:00:00,2.0527480042,12.9702320107,0.0,11.9037121493,0.0,0.327748296539,0.327748296539,0.327748296539,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.02603440795
 01/01  19:00:00,2.36159962931,11.8490651501,0.0,10.6204998825,0.0,0.292417247763,0.292417247763,0.292417247763,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.1846102846
 01/01  20:00:00,2.33348392611,12.1366869784,0.0,10.8723410136,0.0,0.299351261345,0.299351261345,0.299351261345,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.21897577896
 01/01  21:00:00,2.19832697509,12.7953515933,0.0,11.615987395,0.0,0.31982628894,0.31982628894,0.31982628894,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13243424584
 01/01  22:00:00,2.0452400897,13.3680888759,0.0,12.3067315557,0.0,0.338844744624,0.338844744624,0.338844744624,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.01552300867
 01/01  23:00:00,1.74357467604,14.2029529672,0.0,13.3280176349,0.0,0.366964105086,0.366964105086,0.366964105086,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.835271609534
 01/01  24:00:00,1.42833938552,14.5468907558,0.0,13.8783445269,0.0,0.382116412124,0.382116412124,0.382116412124,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.634079191811
