Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.939699499648,8.40930113659,0.0,7.95059127402,0.0,0.218905893711,0.218905893711,0.218905893711,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.43020037298
 01/01  02:00:00,0.814554864484,8.54834849668,0.0,8.18415559625,0.0,0.22533668671,0.22533668671,0.22533668671,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.337943170227
 01/01  03:00:00,0.771587756923,8.81675279914,0.0,8.47888446743,0.0,0.233451540653,0.233451540653,0.233451540653,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.311922946205
 01/01  04:00:00,0.760567974411,8.91892666042,0.0,8.57450069631,0.0,0.236084169512,0.236084169512,0.236084169512,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.318845792237
 01/01  05:00:00,0.754998235013,8.86869056276,0.0,8.45148439177,0.0,0.232697126566,0.232697126566,0.232697126566,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.392592293539
 01/01  06:00:00,0.814557566752,9.33021855033,0.0,8.59238361162,0.0,0.236576544912,0.236576544912,0.236576544912,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.71036782971
 01/01  07:00:00,1.04922573879,10.1413210296,0.0,8.80225715082,0.0,0.242355052834,0.242355052834,0.242355052834,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30732833541
 01/01  08:00:00,1.35926888188,9.6332502134,0.0,8.11958410893,0.0,0.223558821561,0.223558821561,0.223558821561,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47994471192
 01/01  09:00:00,1.31842378282,9.36585522596,0.0,7.88950523785,0.0,0.217223994482,0.217223994482,0.217223994482,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44784049853
 01/01  10:00:00,1.12240438256,8.22107077407,0.0,6.87640063882,0.0,0.189329897045,0.189329897045,0.189329897045,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.3204062542
 01/01  11:00:00,1.14497789651,9.02311793216,0.0,7.83394719839,0.0,0.215694299159,0.215694299159,0.215694299159,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16433620641
 01/01  12:00:00,1.12522102294,7.51036052683,0.0,6.46531371822,0.0,0.178011323791,0.178011323791,0.178011323791,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.02020467264
 01/01  13:00:00,1.08752253425,6.75939013589,0.0,5.82351322664,0.0,0.160340448085,0.160340448085,0.160340448085,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.911453247239
 01/01  14:00:00,1.06101975525,6.67224138679,0.0,5.80376275504,0.0,0.159796652726,0.159796652726,0.159796652726,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.843210413202
 01/01  15:00:00,1.05318914055,6.35452821142,0.0,5.54877468415,0.0,0.152775993555,0.152775993555,0.152775993555,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.779062497254
 01/01  16:00:00,1.12236036083,6.30731190267,0.0,5.49322491354,0.0,0.151246525901,0.151246525901,0.151246525901,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.785912278715
 01/01  17:00:00,1.38504049381,6.35016012448,0.0,5.4482538397,0.0,0.150008324518,0.150008324518,0.150008324518,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.868580540357
 01/01  18:00:00,1.90438263046,7.58728497647,0.0,6.51512975058,0.0,0.179382922797,0.179382922797,0.179382922797,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.03166977244
 01/01  19:00:00,2.21625208265,6.57607839712,0.0,5.34152398748,0.0,0.147069701103,0.147069701103,0.147069701103,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.19059942663
 01/01  20:00:00,2.18367033286,6.70114275587,0.0,5.43115975066,0.0,0.149537668097,0.149537668097,0.149537668097,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22461281936
 01/01  21:00:00,2.02566411235,6.52975287342,0.0,5.34492805272,0.0,0.1471634262,0.1471634262,0.1471634262,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13789486827
 01/01  22:00:00,1.86682753434,6.89448973778,0.0,5.82684523675,0.0,0.160432189268,0.160432189268,0.160432189268,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.02181018951
 01/01  23:00:00,1.54262333038,6.91140611085,0.0,6.0295297402,0.0,0.166012759422,0.166012759422,0.166012759422,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.842212647886
 01/01  24:00:00,1.22880003989,7.30646504149,0.0,6.63114001676,0.0,0.182577066493,0.182577066493,0.182577066493,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.640857987679
 01/02  01:00:00,0.907140037104,7.44864212404,0.0,7.00679616657,0.0,0.192920114245,0.192920114245,0.192920114245,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.413336467887
 01/02  02:00:00,0.785803991395,7.6390258334,0.0,7.28328782063,0.0,0.200532837695,0.200532837695,0.200532837695,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.329488282563
 01/02  03:00:00,0.745062882462,7.94235264397,0.0,7.61034893941,0.0,0.209537904619,0.209537904619,0.209537904619,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.306058319062
 01/02  04:00:00,0.736496127751,8.08797154326,0.0,7.74981004754,0.0,0.213377727024,0.213377727024,0.213377727024,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.312581323848
 01/02  05:00:00,0.739565347159,8.3921308537,0.0,7.9879824035,0.0,0.219935394328,0.219935394328,0.219935394328,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.379534572752
 01/02  06:00:00,0.794451981669,8.71032381297,0.0,8.01094581331,0.0,0.220567652429,0.220567652429,0.220567652429,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.671910890665
 01/02  07:00:00,1.00893640638,8.97526213395,0.0,7.72487679353,0.0,0.212691232641,0.212691232641,0.212691232641,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21864979703
 01/02  08:00:00,1.31803712323,8.79574513549,0.0,7.39063378976,0.0,0.203488424833,0.203488424833,0.203488424833,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.37138995319
 01/02  09:00:00,1.26677186305,8.55375945216,0.0,7.19163649352,0.0,0.198009375605,0.198009375605,0.198009375605,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33361346906
