Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.989597621847,10.2208027131,0.0,9.7628749372,0.0,0.26880401591,0.26880401591,0.26880401591,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.429418286367
 01/01  02:00:00,0.881381092366,10.9736908792,0.0,10.6112625839,0.0,0.292162914591,0.292162914591,0.292162914591,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.33617856504
 01/01  03:00:00,0.833669101843,11.0696570107,0.0,10.7336588402,0.0,0.295532885572,0.295532885572,0.295532885572,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.310052784935
 01/01  04:00:00,0.829131579899,11.4067882964,0.0,11.0647086769,0.0,0.304647775001,0.304647775001,0.304647775001,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.316499447605
 01/01  05:00:00,0.828749644917,11.5452867878,0.0,11.1301117512,0.0,0.30644853647,0.30644853647,0.30644853647,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.390561159233
 01/01  06:00:00,0.879379714182,11.6821591538,0.0,10.9467030454,0.0,0.301398692342,0.301398692342,0.301398692342,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.707988999435
 01/01  07:00:00,1.11815395589,12.6424800721,0.0,11.3057077072,0.0,0.311283269933,0.311283269933,0.311283269933,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30503682158
 01/01  08:00:00,1.44374209049,12.6991055135,0.0,11.1876237304,0.0,0.308032030173,0.308032030173,0.308032030173,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47776039053
 01/01  09:00:00,1.38989089146,11.9586733011,0.0,10.4851675139,0.0,0.28869110312,0.28869110312,0.28869110312,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44499629762
 01/01  10:00:00,1.2134920534,11.5266622804,0.0,10.1846753897,0.0,0.28041756789,0.28041756789,0.28041756789,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31772300964
 01/01  11:00:00,1.23805116249,12.4002592274,0.0,11.2143381227,0.0,0.308767565145,0.308767565145,0.308767565145,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16108657733
 01/01  12:00:00,1.18445525252,9.65829761042,0.0,8.61668178247,0.0,0.237245553369,0.237245553369,0.237245553369,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01677369198
 01/01  13:00:00,1.12913679564,8.26815685244,0.0,7.33492974359,0.0,0.201954709467,0.201954709467,0.201954709467,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.908803446829
 01/01  14:00:00,1.10846045414,8.39351995139,0.0,7.5267935982,0.0,0.207237351614,0.207237351614,0.207237351614,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.841458134642
 01/01  15:00:00,1.09594471026,7.90522423539,0.0,7.10164315043,0.0,0.195531563262,0.195531563262,0.195531563262,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.776890054949
 01/01  16:00:00,1.16425501273,7.82651240335,0.0,7.01482512323,0.0,0.193141177795,0.193141177795,0.193141177795,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.783512569703
 01/01  17:00:00,1.42318803901,7.73321172902,0.0,6.83376034606,0.0,0.188155869722,0.188155869722,0.188155869722,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.866125638523
 01/01  18:00:00,1.94112107627,8.91906945317,0.0,7.84945822248,0.0,0.216121368603,0.216121368603,0.216121368603,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.02912577724
 01/01  19:00:00,2.24731901239,7.7024077912,0.0,6.46986483015,0.0,0.178136630852,0.178136630852,0.178136630852,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.18858797804
 01/01  20:00:00,2.20509168716,7.47655357684,0.0,6.20917641207,0.0,0.170959022398,0.170959022398,0.170959022398,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22200697892
 01/01  21:00:00,2.0493919086,7.38992520063,0.0,6.20671393978,0.0,0.170891222448,0.170891222448,0.170891222448,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13628130842
 01/01  22:00:00,1.88186337104,7.4386007878,0.0,6.37294196361,0.0,0.175468025966,0.175468025966,0.175468025966,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.01982451266
 01/01  23:00:00,1.56052578624,7.55933336347,0.0,6.67974114811,0.0,0.183915215283,0.183915215283,0.183915215283,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.839928492596
 01/01  24:00:00,1.24084361066,7.74219061214,0.0,7.0685586128,0.0,0.194620637265,0.194620637265,0.194620637265,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.639164962294
 01/02  01:00:00,0.919757681449,7.90554659647,0.0,7.46506492913,0.0,0.20553775859,0.20553775859,0.20553775859,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.411972177754
 01/02  02:00:00,0.795716298213,7.99760965755,0.0,7.64329959902,0.0,0.210445144513,0.210445144513,0.210445144513,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.328060328326
 01/02  03:00:00,0.751031509663,8.15763449038,0.0,7.82712754931,0.0,0.215506531819,0.215506531819,0.215506531819,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.304561555571
 01/02  04:00:00,0.741168833884,8.25613342134,0.0,7.91952122331,0.0,0.218050433157,0.218050433157,0.218050433157,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.311032026154
 01/02  05:00:00,0.738544845636,8.35369519643,0.0,7.95091811818,0.0,0.218914892805,0.218914892805,0.218914892805,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.378163200796
 01/02  06:00:00,0.792322464695,8.63181298043,0.0,7.93360244542,0.0,0.218438135455,0.218438135455,0.218438135455,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.67074342602
 01/02  07:00:00,1.00889292491,8.97259264971,0.0,7.72329756073,0.0,0.212647751175,0.212647751175,0.212647751175,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21755954559
 01/02  08:00:00,1.33932627883,9.56795200958,0.0,8.16384903681,0.0,0.224777580426,0.224777580426,0.224777580426,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.37038158023
 01/02  09:00:00,1.2690742443,8.63615784362,0.0,7.27525823596,0.0,0.200311756854,0.200311756854,0.200311756854,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33239011808
 01/02  10:00:00,1.0791955945,8.18059399296,0.0,6.94258491095,0.0,0.191152167458,0.191152167458,0.191152167458,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21374520096
 01/02  11:00:00,1.10034657361,9.15901813914,0.0,8.06221296637,0.0,0.221979205554,0.221979205554,0.221979205554,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.07197064541
 01/02  12:00:00,1.06736299443,7.23843840263,0.0,6.27030360466,0.0,0.1726420548,0.1726420548,0.1726420548,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.943292661995
 01/02  13:00:00,1.04766379095,6.98125478703,0.0,6.11231867983,0.0,0.168292210874,0.168292210874,0.168292210874,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.84451244519
