Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.933833433397,8.19591146157,0.0,7.73753764467,0.0,0.213039827461,0.213039827461,0.213039827461,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.429864327316
 01/01  02:00:00,0.812158425202,8.46153140921,0.0,8.09711769643,0.0,0.222940247427,0.222940247427,0.222940247427,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.338163982582
 01/01  03:00:00,0.766759261864,8.64163270349,0.0,8.30351508822,0.0,0.228623045593,0.228623045593,0.228623045593,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.31217222977
 01/01  04:00:00,0.755634964525,8.7396841994,0.0,8.3953353724,0.0,0.231151159626,0.231151159626,0.231151159626,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.318768655134
 01/01  05:00:00,0.753761941589,8.8239563292,0.0,8.40658261437,0.0,0.231460833142,0.231460833142,0.231460833142,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.392759837378
 01/01  06:00:00,0.806285427588,9.03003204362,0.0,8.29194219209,0.0,0.228304405748,0.228304405748,0.228304405748,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.710622742536
 01/01  07:00:00,1.04017995862,9.81317621499,0.0,8.47371734016,0.0,0.233309272666,0.233309272666,0.233309272666,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30772333144
 01/01  08:00:00,1.36623291922,9.88666829694,0.0,8.37251569337,0.0,0.230522858905,0.230522858905,0.230522858905,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.48043121103
 01/01  09:00:00,1.30641028032,8.92954398074,0.0,7.45317871185,0.0,0.205210491984,0.205210491984,0.205210491984,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.4478557793
 01/01  10:00:00,1.12857447219,8.44554856553,0.0,7.10049629912,0.0,0.195499986678,0.195499986678,0.195499986678,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.32078838536
 01/01  11:00:00,1.14629513165,9.0709716374,0.0,7.88178875274,0.0,0.2170115343,0.2170115343,0.2170115343,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.1643483573
 01/01  12:00:00,1.12882350044,7.64140598332,0.0,6.59615453603,0.0,0.181613801289,0.181613801289,0.181613801289,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.02040931132
 01/01  13:00:00,1.08152046806,6.54157120159,0.0,5.60552012315,0.0,0.154338381887,0.154338381887,0.154338381887,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.911627416424
 01/01  14:00:00,1.03468394115,5.7166716809,0.0,4.84725450284,0.0,0.133460838624,0.133460838624,0.133460838624,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.844148959507
 01/01  15:00:00,1.03053264995,5.53293034755,0.0,4.72589827187,0.0,0.130119502957,0.130119502957,0.130119502957,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.780341045666
 01/01  16:00:00,1.10079471617,5.52559267665,0.0,4.70996767287,0.0,0.129680881239,0.129680881239,0.129680881239,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.787450293354
 01/01  17:00:00,1.36852407991,5.75162419394,0.0,4.8483830278,0.0,0.133491910624,0.133491910624,0.133491910624,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.869915421707
 01/01  18:00:00,1.8835452269,6.83129411236,0.0,5.75832199131,0.0,0.158545519238,0.158545519238,0.158545519238,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.0324866676
 01/01  19:00:00,2.19989693422,5.98268797211,0.0,4.74751028525,0.0,0.130714552676,0.130714552676,0.130714552676,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.19122270385
 01/01  20:00:00,2.16626339355,6.06967941255,0.0,4.79894534341,0.0,0.13213072878,0.13213072878,0.13213072878,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22536388328
 01/01  21:00:00,2.02913570406,6.65699902263,0.0,5.47101514098,0.0,0.150635017908,0.150635017908,0.150635017908,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13905392922
 01/01  22:00:00,1.87277212441,7.11102467176,0.0,6.04275082565,0.0,0.166376779333,0.166376779333,0.166376779333,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.02243953459
 01/01  23:00:00,1.55657616707,7.41795905434,0.0,6.53629225714,0.0,0.179965596117,0.179965596117,0.179965596117,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.842003074433
 01/01  24:00:00,1.24156067177,7.77006803078,0.0,7.09460204036,0.0,0.195337698373,0.195337698373,0.195337698373,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.640998953371
 01/02  01:00:00,0.92374684397,8.05207418541,0.0,7.60995002196,0.0,0.209526921111,0.209526921111,0.209526921111,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.413614673868
 01/02  02:00:00,0.805310836603,8.34719995731,0.0,7.99177013084,0.0,0.220039682903,0.220039682903,0.220039682903,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.329180096267
 01/02  03:00:00,0.76263093022,8.58030099306,0.0,8.24841475317,0.0,0.227105952377,0.227105952377,0.227105952377,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.305940854386
 01/02  04:00:00,0.755494726342,8.77749629043,0.0,8.43983300497,0.0,0.232376325615,0.232376325615,0.232376325615,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.312083113601
 01/02  05:00:00,0.755281170406,8.96247383325,0.0,8.55877602194,0.0,0.235651217574,0.235651217574,0.235651217574,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.379083933863
 01/02  06:00:00,0.809682868834,9.26317774023,0.0,8.56412671007,0.0,0.235798539594,0.235798539594,0.235798539594,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.671583921169
 01/02  07:00:00,1.02336081423,9.49888295964,0.0,8.24876662241,0.0,0.227115640493,0.227115640493,0.227115640493,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21838079385
 01/02  08:00:00,1.3523748065,10.0425363719,0.0,8.63776734237,0.0,0.237826108095,0.237826108095,0.237826108095,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.37104763696
 01/02  09:00:00,1.27863389731,8.98393218776,0.0,7.62246174225,0.0,0.209871409869,0.209871409869,0.209871409869,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33296095592
 01/02  10:00:00,1.07394775874,7.99066218824,0.0,6.75198521295,0.0,0.185904331694,0.185904331694,0.185904331694,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21441309425
