Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.93698631208,2.98537908207,0.0,2.9574117037,0.0,0.075361625312,0.075361625312,0.075361625312,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465516
 01/01  02:00:00,0.755295057317,3.2211596858,0.0,3.19540909722,0.0,0.0813299926206,0.0813299926206,0.0813299926206,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844101463
 01/01  03:00:00,0.696651183132,3.51346498949,0.0,3.48801295846,0.0,0.0887224895357,0.0887224895357,0.0887224895357,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.081441745526
 01/01  04:00:00,0.690198162411,3.6082507549,0.0,3.58315699293,0.0,0.0911554300668,0.0911554300668,0.0911554300668,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072553544
 01/01  05:00:00,0.738771118107,3.67033376961,0.0,3.64618792786,0.0,0.0926140777058,0.0926140777058,0.0926140777058,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137188675
 01/01  06:00:00,1.00423278266,3.63864478989,0.0,3.61169997112,0.0,0.0916865186576,0.0916865186576,0.0916865186576,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635094908
 01/01  07:00:00,1.6178270245,3.42289572996,0.0,3.39176364157,0.0,0.0860340985252,0.0860340985252,0.0860340985252,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252541
 01/01  08:00:00,2.05580749131,3.68483532693,0.0,3.65175515054,0.0,0.0924717839471,0.0924717839471,0.0924717839471,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255572
 01/01  09:00:00,1.99261511184,3.35435834579,0.0,3.32639096741,0.0,0.0845028796263,0.0845028796263,0.0845028796263,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488219
 01/01  10:00:00,1.7487333619,3.36474822538,0.0,3.34094572481,0.0,0.0846281371081,0.0846281371081,0.0846281371081,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681675
 01/01  11:00:00,1.64396972495,3.43631387176,0.0,3.41195157579,0.0,0.0866791154335,0.0866791154335,0.0866791154335,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958447734
 01/01  12:00:00,1.55450433181,2.93388646567,0.0,2.90951670576,0.0,0.0739820128252,0.0739820128252,0.0739820128252,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.548266158326
 01/01  13:00:00,1.45673706184,2.71763061189,0.0,2.69367136861,0.0,0.0686426881258,0.0686426881258,0.0686426881258,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.475750165276
 01/01  14:00:00,1.36477109874,1.89911173703,0.0,1.87432399655,0.0,0.0476913024146,0.0476913024146,0.0476913024146,0.121932141685,0.0262674173776,0.361435815596,0.359872425705,0.430927995965
